item_id;definition;language;form;type;category;lexical_category;lexical_class;uni_lemma;complexity_category ;num_item_id
item_1;Reaguje, gdy zawołać je po imieniu (np. odwraca głowę i patrzy w kierunku głosu)?;Polish;WG;first_signs;;;;;;1
item_2;"Reaguje na okrzyk „Nie!” (przerywając wykonywaną czynność choć na chwilę)? 
";Polish;WG;first_signs;;;;;;2
item_3;Reaguje na słowa „Tu mama.” lub „Gdzie tata?” (szukając matki lub ojca wzrokiem)? ;Polish;WG;first_signs;;;;;;3
item_4;Chcesz jeść?;Polish;WG;phrases;;;;;;4
item_5;Chcesz spać?;Polish;WG;phrases;;;;;;5
item_6;Chcesz pić?;Polish;WG;phrases;;;;;;6
item_7;Cicho!;Polish;WG;phrases;;;;;;7
item_8;Uważaj!;Polish;WG;phrases;;;;;;8
item_9;Nie ruszaj!/Nie rusz!;Polish;WG;phrases;;;;;;9
item_10;Nie wolno!;Polish;WG;phrases;;;;;;10
item_11;Nie ruszaj się!;Polish;WG;phrases;;;;;;11
item_12;Wstań!;Polish;WG;phrases;;;;;;12
item_13;Siadaj!;Polish;WG;phrases;;;;;;13
item_14;Chodź!;Polish;WG;phrases;;;;;;14
item_15;Popatrz./Zobacz. ;Polish;WG;phrases;;;;;;15
item_16;Otwórz buzię. ;Polish;WG;phrases;;;;;;16
item_17;Daj mamusi ____. ;Polish;WG;phrases;;;;;;17
item_18;Przynieś ____. ;Polish;WG;phrases;;;;;;18
item_19;Rzuć piłkę. ;Polish;WG;phrases;;;;;;19
item_20;Daj buzi/całuska!;Polish;WG;phrases;;;;;;20
item_21;Zrób babci „moja moja”. ;Polish;WG;phrases;;;;;;21
item_22;Zrób „pa pa”. ;Polish;WG;phrases;;;;;;22
item_23;Zrób brawo/kosi-kosi!;Polish;WG;phrases;;;;;;23
item_24;Idziemy na spacer. ;Polish;WG;phrases;;;;;;24
item_25;Idziemy spać/lulać. ;Polish;WG;phrases;;;;;;25
item_26;Kasia/Tomek cacy. ;Polish;WG;phrases;;;;;;26
item_27;Mama jest w kuchni. ;Polish;WG;phrases;;;;;;27
item_28;gę gę;Polish;WG;word;sounds;other;other;quack quack;;28
item_29;hau hau;Polish;WG;word;sounds;other;other;woof woof;;29
item_30;ko ko ko;Polish;WG;word;sounds;other;other;cluck cluck ;;30
item_31;kwa kwa;Polish;WG;word;sounds;other;other;quack quack;;31
item_32;miau;Polish;WG;word;sounds;other;other;meow;;32
item_33;mee/bee;Polish;WG;word;sounds;other;other;baa baa;;33
item_34;muu [krowa];Polish;WG;word;sounds;other;other;moo;;34
item_35;pi pi pi/ćwir ćwir;Polish;WG;word;sounds;other;other;tweet tweet;;35
item_36;bam/bum/bęc;Polish;WG;word;sounds;other;other;boom;;36
item_37;brrum brrum [auto];Polish;WG;word;sounds;other;other;vroom;;37
item_38;tik tak;Polish;WG;word;sounds;other;other;tick-tock;;38
item_39;tralala/lalala;Polish;WG;word;sounds;other;other;;;39
item_40;baran;Polish;WG;word;animals;nouns;nouns;ram;;40
item_41;biedronka;Polish;WG;word;animals;nouns;nouns;ladybug;;41
item_42;bocian;Polish;WG;word;animals;nouns;nouns;stork;;42
item_43;gęś;Polish;WG;word;animals;nouns;nouns;goose;;43
item_44;jeż;Polish;WG;word;animals;nouns;nouns;hedgehog;;44
item_45;kaczka;Polish;WG;word;animals;nouns;nouns;duck;;45
item_46;kogut;Polish;WG;word;animals;nouns;nouns;rooster;;46
