item_id;definition;type;category
item_1;dinosaur;word;
item_2;glass;word;
item_3;catch;word;
item_4;peculiar;word;
item_5;donkey;word;
item_6;jar;word;
item_7;drop;word;
item_8;before;word;
item_9;reindeer;word;
item_10;ladder;word;
item_11;fasten;word;
item_12;then;word;
item_13;castle;word;
item_14;material;word;
item_15;forget/forgot;word;
item_16;today;word;
item_17;drum;word;
item_18;stamp;word;
item_19;hate;word;
item_20;week;word;
item_21;football;word;
item_22;tyre;word;
item_23;hurry;word;
item_24;yesterday;word;
item_25;microscope;word;
item_26;furniture;word;
item_27;leave;word;
item_28;their;word;
item_29;tricycle;word;
item_30;kitchen;word;
item_31;measure;word;
item_32;they;word;
item_33;kite;word;
item_34;settee/sofa;word;
item_35;peel;word;
item_36;those;word;
item_37;trolley;word;
item_38;cloud;word;
item_39;promise;word;
item_40;yourself;word;
item_41;lemon;word;
item_42;fence;word;
item_43;gate;word;
item_44;why;word;
item_45;peanut;word;
item_46;hose/hose-pipe;word;
item_47;sneeze;word;
item_48;about;word;
item_49;cream cracker;word;
item_50;pavement;word;
item_51;somersault;word;
item_52;above;word;
item_53;salt;word;
item_54;zoo;word;
item_55;think;word;
item_56;away;word;
item_57;sauce;word;
item_58;child;word;
item_59;black;word;
item_60;between;word;
item_61;vanilla;word;
item_62;cowboy;word;
item_63;bored;word;
item_64;on top of;word;
item_65;vegetable;word;
item_66;family;word;
item_67;deep;word;
item_68;each;word;
item_69;beads;word;
item_70;farmer;word;
item_71;different;word;
item_72;every;word;
item_73;jeans;word;
item_74;nobody;word;
item_75;empty;word;
item_76;none;word;
item_77;elbow;word;
item_78;nurse;word;
item_79;expensive;word;
item_80;might;word;
item_81;(finger) nail;word;
item_82;accident;word;
item_83;fine;word;
item_84;need to;word;
item_85;thumb;word;
item_86;circle;word;
item_87;half;word;
item_88;were;word;
item_89;plaster/bandage;word;
item_90;front;word;
item_91;long;word;
item_92;although;word;
item_93;blade;word;
item_94;idea;word;
item_95;lost;word;
item_96;because;word;
item_97;computer;word;
item_98;camping;word;
item_99;angry;word;
item_100;however;word;
item_101;Has your child begun to combine words yet, such as ‘nother cracker’, or ‘doggie bite’?;combine;
item_102;Mummy pick me up. % Mummy picked me up.;complexity;
item_103;That my truck. % That’s my truck.;complexity;
item_104;Coffee hot. % That coffee hot.;complexity;
item_105;I like read stories. % I like to read stories.;complexity;
item_106;Don’t read that book. % Don’t want you read that book.;complexity;
item_107;Why he run away? % Why did he run away?;complexity;
item_108;He did it. % I know who did it.;complexity;
item_109;We got to go now. % I think we got to go now.;complexity;
item_110;I want truck. % I want truck like Billy has.;complexity;
item_111;This doll big. % This doll big and this doll little.;complexity;
item_112;This pig have a broken leg. % This pig have a broken leg but cat don’t.;complexity;
item_113;It got broken. % It got broken by the car.;complexity;
item_114;Does your child understand the meaning of “one”? If you ask for just one smartie or raisin, will your child give you only one and then stop?;abstract;
item_115;Does your child ask questions (with more than one word) that begin with “what” or “where”?;abstract;
item_116;Does your child ask questions (with more than one word) that begin with “why” or “how”?;abstract;
item_117;Does your child give reasons for things, using the word “because”?;abstract;
item_118;If you asked your child “What is a horse”?, could he answer “an animal”?;abstract;
item_119;Can your child name simple shapes with the words “circle,” “square,” and “triangle”?;abstract;
item_120;Does your child talk about things that “could” or “might” happen, such as “he could hurt himself if he’s not careful”?;abstract;
item_121;Does your child ever ask what a word means?;abstract;
item_122;Can your child tell you which of two objects is larger if they were not present, for example when asked “which is bigger, a horse or a dog”?;abstract;
item_123;Does your child know his/her right hand from his/her left hand?;abstract;
item_124;Does your child use words that end in -est like “biggest” or “tallest”?;abstract;
item_125;Can your child answer questions such as “what do you do when you are hungry?” or “what do you do when you are tired?” with answers that fit, such as “get food,” “eat,” “go to sleep,” or “go to bed”?;abstract;
