text_type;text;item_type;category
cdiNameSufix;Words and Sentences;;
longText;Start section first page text;start;
header ;Word list ;word;
wordBtn ;Words;word;
longText;Words section first page text ;word;firstPage
catHeader;Sounds;word;sounds
catHeader;Animal words;word;animals
catHeader;Vehicle words;word;vehicles
catHeader;Words for toys;word;toys
catHeader;Food and drink words;word;food_drink
catHeader;Words for body parts;word;body_parts
warning; *or the word used in your family;word;body_parts
catHeader;Words for clothes;word;clothing
catHeader;Words for furniture and rooms;word;furniture_rooms
catHeader;Words for small household items;word;household
catHeader;Outside words;word;outside
catHeader;Places to go;word;places
warning; *or the word used in your family;word;places
catHeader ;Words for people;word;people
warning; If a word refers to a person/people mark the word even if your child only says the name of the person (e.g. ‘Adam’ for ‘baby’).;word;people
catHeader ;Words for games and routines;word;games_routines
catHeader ;Action words;word;action_words
catHeader ;Describing words;word;descriptive_words
catHeader ;Question words;word;question_words
catHeader ;Words about time;word;time_words
catHeader ;Words about people and things;word;pronouns
catHeader ;Words about places;word;prepositions
catHeader ;Words about amounts ;word;quantifiers
catHeader ;Helping verbs;word;helping_verbs
catHeader ;Connecting words;word;connecting_words
help;Please make sure you have completed all of the pages, before finishing this part. Did you mark all the words that your child understands and says?;word;connecting_words
how_use_wordsBtn;How children use words;how_use_words;
header;How children use words;how_use_words;
choiceNames;Not yet, Sometimes, Often;how_use_words;
word_endingsBtn;Word endings (part 1);word_endings;
header;Word endings (part 1);word_endings;
choiceNames;Not yet, Sometimes, Often;word_endings;
word_formsBtn;Word forms ;word_forms;
header;Word forms;word_forms;
longText;Word forms long text;word_forms;firstPage
catHeader;Nouns;word_forms;word_form_nouns
catHeader;Verbs;word_forms;word_form_verbs
word_endings2Btn;Word endings (part 2);word_endings2;
header;Word endings (part 2);word_endings2;
longText;Word ending part 2 text;word_endings2;firstPage
catHeader;Nouns;word_endings2;word_endings_nouns
catHeader;Verbs;word_endings2;word_endings_verbs
combineBtn;Combining words ;combine;
header;Combining words ;combine;
choiceNames;Not yet, Sometimes, Often;combine;
help;“The longest sentences” and “Complexity” sections become available after selecting “Sometimes” or “Often”.;combine;
header;The longest sentences ;sentences3;
sentences3Btn;The longest sentences ;sentences3;
sentences3Tooltip;Availability of this section depends on your answer in the “Combining words” section.;sentences3;
instr;Examples: Please list three of the longest sentences you have heard your child say recently. If you cannot remember any, you can leave the boxes empty.;sentences3;
header;Complexity;complexity;
complexityBtn;Complexity;complexity;
complexityTooltip;Availability of this section depends on your answer in the “Combining words” section.;complexity;
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity1
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity2
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity3
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity4
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity5
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity6
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity7
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity8
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity9
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity10
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity11
instr;In each of the following groups of examples, please mark the one that sounds MOST like the way your child talks right now. Please answer all the questions. If your child is only using shorter or less complex sentences than the options provided, please click on the first of the boxes. If your child is saying sentences even longer or more complicated than the options listed, just click the last box.;complexity;complexity12
warning; *Talking about something happening right now;complexity;complexity2
warning; **Talking about something that has already happened;complexity;complexity5
warning; **Talking about something that has already happened;complexity;complexity6
warning; **Talking about something that has already happened;complexity;complexity9
warning; **Talking about something that has already happened;complexity;complexity10
