age,gender,theta,group
8,Female,-2.2555785664208,Gest
9,Female,-1.89454484835639,Gest
10,Female,-1.60647233195918,Gest
11,Female,-1.24448880864111,Gest
12,Female,-0.919993178859878,Gest
13,Female,-0.548314052303429,Gest
14,Female,-0.339649444269777,Gest
15,Female,-0.163278718822118,Gest
16,Female,0.0292805857287478,Gest
17,Female,0.22721367243384,Gest
18,Female,0.358171719522347,Gest
19,Female,0.515298478163616,Gest
20,Female,0.67798649717011,Gest
8,Male,-1.99085721445799,Gest
9,Male,-1.95165977134901,Gest
10,Male,-1.649420316645,Gest
11,Male,-1.36379115851864,Gest
12,Male,-1.06833074958441,Gest
13,Male,-0.655471847096483,Gest
14,Male,-0.426195971786245,Gest
15,Male,-0.288571572731486,Gest
16,Male,-0.199991249662315,Gest
17,Male,0.0102903814258752,Gest
18,Male,0.208674631365792,Gest
19,Male,0.247718724509117,Gest
20,Male,0.343629185255763,Gest
8,Female,-1.96987640091499,Comp
9,Female,-1.55063792172141,Comp
10,Female,-1.49500100563946,Comp
11,Female,-1.20617143150698,Comp
12,Female,-0.77244781979822,Comp
13,Female,-0.467467361850564,Comp
14,Female,-0.269484983207053,Comp
15,Female,-0.267267066861079,Comp
16,Female,0.00124841838726708,Comp
17,Female,0.156283961811074,Comp
18,Female,0.203845301545635,Comp
19,Female,0.24041056778588701,Comp
20,Female,0.220722242827725,Comp
8,Male,-1.96798619979434,Comp
9,Male,-1.64227934593722,Comp
10,Male,-1.45835766697982,Comp
11,Male,-1.29907361865385,Comp
12,Male,-0.941153560165106,Comp
13,Male,-0.42979953255768,Comp
14,Male,-0.325679915199321,Comp
15,Male,-0.252573053407054,Comp
16,Male,-0.100679930488496,Comp
17,Male,0.0455388768838888,Comp
18,Male,0.229222912388146,Comp
19,Male,0.265252340289701,Comp
20,Male,0.243886041630666,Comp
8,Female,-1.96337810762648,Prod
9,Female,-1.63979533850511,Prod
10,Female,-1.50139192535368,Prod
11,Female,-1.15695072009029,Prod
12,Female,-0.910784310738428,Prod
13,Female,-0.598402149573225,Prod
14,Female,-0.414586413315702,Prod
15,Female,-0.348048339271045,Prod
16,Female,-0.0568032310822469,Prod
17,Female,0.0905087802076696,Prod
18,Female,0.235309840363969,Prod
19,Female,0.371752228269154,Prod
20,Female,0.571801458611155,Prod
8,Male,-1.85827850856841,Prod
9,Male,-1.64281520613812,Prod
10,Male,-1.48406698386034,Prod
11,Male,-1.32364438224755,Prod
12,Male,-1.01324622077871,Prod
13,Male,-0.577926266057536,Prod
14,Male,-0.513637911159081,Prod
15,Male,-0.401460281137575,Prod
16,Male,-0.272190757592168,Prod
17,Male,-0.0552479881858419,Prod
18,Male,0.212280884793968,Prod
19,Male,0.306661634034719,Prod
20,Male,0.504259322490159,Prod
