item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_1;"Barnet mitt snakker ennå ikke."%"Barnet mitt snakker, men jeg forstår ham/henne/hen ikke."%"Barnet mitt snakker i ettordsytringer som «bamse» eller «se»."%"Barnet mitt snakker i ytringer på to-tre ord som «få bamse» eller «vil ha is»."%"Barnet mitt snakker i korte, fullstendige setninger som «jeg fikk en bil» eller «kan du hoppe?»."%"Barnet mitt snakker ofte i lange setninger som «jeg så en hund på gaten» eller «da jeg var i barnehagen, lekte jeg med klosser».";communication_level;;;;;
item_2;Blande;word;eating;predicates;verbs;;
item_3;Brenne (seg);word;eating;predicates;verbs;;
item_4;Vaske opp;word;eating;predicates;verbs;;
item_5;Steke;word;eating;predicates;verbs;;
item_6;Helle;word;eating;predicates;verbs;;
item_7;Koke;word;eating;predicates;verbs;;
item_8;Lukte;word;eating;predicates;verbs;;
item_9;Rense;word;eating;predicates;verbs;;
item_10;Mose;word;eating;predicates;verbs;;
item_11;Salt;word;eating;predicates;verbs;;
item_12;Skrelle;word;eating;predicates;verbs;;
item_13;Skjære;word;eating;predicates;verbs;;
item_14;Skylle;word;eating;predicates;verbs;;
item_15;Smake;word;eating;predicates;verbs;;
item_16;Sterkt;word;eating;predicates;adjectives;;
item_17;Hakke;word;eating;predicates;verbs;;
item_18;Blod;word;body_parts;nouns;nouns;;
item_19;Feber;word;body_parts;nouns;nouns;;
item_20;Hjerne;word;body_parts;nouns;nouns;;
item_21;Hjerte;word;body_parts;nouns;nouns;;
item_22;Hode;word;body_parts;nouns;nouns;;
item_23;Kne;word;body_parts;nouns;nouns;;
item_24;Lever;word;body_parts;nouns;nouns;;
item_25;Lunge;word;body_parts;nouns;nouns;;
item_26;Lepper;word;body_parts;nouns;nouns;;
item_27;Rygg;word;body_parts;nouns;nouns;;
item_28;Skjelett;word;body_parts;nouns;nouns;;
item_29;Snørr;word;body_parts;nouns;nouns;;
item_30;Sår;word;body_parts;nouns;nouns;;
item_31;Tarmer;word;body_parts;nouns;nouns;;
item_32;Mage;word;body_parts;nouns;nouns;;
item_33;Tå;word;body_parts;nouns;nouns;;
item_34;Tissetrengt;word;body_parts;predicates;verbs;;
item_35;Frisk;word;body_parts;predicates;adjectives;;
item_36;Hoste;word;body_parts;nouns;nouns;;
item_37;Prompe;word;body_parts;predicates;verbs;;
item_38;Gro (om sår);word;body_parts;predicates;verbs;;
item_39;Syk/sjuk;word;body_parts;predicates;adjectives;;
item_40;Svett;word;body_parts;predicates;adjectives;;
item_41;Trøtt;word;body_parts;predicates;adjectives;;
item_42;Tørst;word;body_parts;predicates;adjectives;;
item_43;Vondt;word;body_parts;nouns;nouns;;
item_44;Drøm;word;thoughts_ideas;nouns;nouns;;
item_45;Idé;word;thoughts_ideas;nouns;nouns;;
item_46;(et) Løfte;word;thoughts_ideas;nouns;nouns;;
item_47;Fantasere;word;thoughts_ideas;predicates;verbs;;
item_48;Forklare;word;thoughts_ideas;predicates;verbs;;
item_49;Miste;word;thoughts_ideas;predicates;verbs;;
item_50;Forstå;word;thoughts_ideas;predicates;verbs;;
item_51;Prøve;word;thoughts_ideas;predicates;verbs;;
item_52;Gjette;word;thoughts_ideas;predicates;verbs;;
item_53;Glemme;word;thoughts_ideas;predicates;verbs;;
item_54;Dum;word;thoughts_ideas;predicates;adjectives;;
item_55;Huske;word;thoughts_ideas;predicates;verbs;;
item_56;Lur;word;thoughts_ideas;predicates;adjectives;;
item_57;Lyve/ljuge;word;thoughts_ideas;predicates;verbs;;
item_58;Love;word;thoughts_ideas;predicates;verbs;;
item_59;Lure på;word;thoughts_ideas;predicates;verbs;;
item_60;Lære;word;thoughts_ideas;predicates;verbs;;
item_61;Lese;word;thoughts_ideas;predicates;verbs;;
item_62;Mene;word;thoughts_ideas;predicates;verbs;;
item_63;Minne (på/om);word;thoughts_ideas;predicates;verbs;;
item_64;Telle;word;thoughts_ideas;predicates;verbs;;
item_65;Skrive;word;thoughts_ideas;predicates;verbs;;
item_66;Tro;word;thoughts_ideas;predicates;verbs;;
item_67;Tenke;word;thoughts_ideas;predicates;verbs;;
item_68;Undersøke;word;thoughts_ideas;predicates;verbs;;
item_69;Enig;word;thoughts_ideas;predicates;adjectives;;
item_70;Oppdage;word;thoughts_ideas;predicates;verbs;;
item_71;Advare;word;thoughts_ideas;predicates;verbs;;
item_72;(Gå seg) vill/bort;word;thoughts_ideas;predicates;verbs;;
item_73;Ønske;word;thoughts_ideas;predicates;verbs;;
item_74;Sint;word;feelings;predicates;adjectives;;
item_75;Flau;word;feelings;predicates;adjectives;;
item_76;Slem;word;feelings;predicates;adjectives;;
item_77;Overrasket;word;feelings;predicates;adjectives;;
item_78;Glad;word;feelings;predicates;adjectives;;
item_79;Kose;word;feelings;predicates;verbs;;
item_80;Hate;word;feelings;predicates;verbs;;
item_81;Feire;word;feelings;predicates;verbs;;
item_82;Irritert;word;feelings;predicates;adjectives;;
item_83;Klappe;word;feelings;predicates;verbs;;
item_84;Klemme;word;feelings;predicates;verbs;;
item_85;Lei seg;word;feelings;predicates;verbs;;
item_86;Lykkelig;word;feelings;predicates;adjectives;;
