item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_1;"Barnet mitt snakker ennå ikke."%"Barnet mitt snakker, men jeg forstår ham/henne ikke."%"Barnet mitt snakker i ettordsytringer som «bamse» eller «se»."%"Barnet mitt snakker i ytringer på to-tre ord som «få bamse» eller «vil ha is»."%"Barnet mitt snakker i korte, fullstendige setninger som «jeg fikk en bil» eller «kan du hoppe?»."%"Barnet mitt snakker ofte i lange setninger som «jeg så en hund på gaten» eller «da jeg var i barnehagen lekte jeg med klosser».";communication_level;;;;;
item_2;Blande;word;eating;predicates;verbs;;
item_3;Brenne (seg);word;eating;predicates;verbs;;
item_4;Vaske opp;word;eating;predicates;verbs;;
item_5;Steke;word;eating;predicates;verbs;;
item_6;Helle;word;eating;predicates;verbs;;
item_7;Koke;word;eating;predicates;verbs;;
item_8;Lukte;word;eating;predicates;verbs;;
item_9;Rense;word;eating;predicates;verbs;;
item_10;Mose;word;eating;predicates;verbs;;
item_11;Salt;word;eating;predicates;verbs;;
item_12;Skrelle;word;eating;predicates;verbs;;
item_13;Skjære;word;eating;predicates;verbs;;
item_14;Skylle;word;eating;predicates;verbs;;
item_15;Smake;word;eating;predicates;verbs;;
item_16;Sterkt;word;eating;predicates;adjectives;;
item_17;Hakke;word;eating;predicates;verbs;;
item_18;Blod;word;body_parts;nouns;nouns;;
item_19;Feber;word;body_parts;nouns;nouns;;
item_20;Hjerne;word;body_parts;nouns;nouns;;
item_21;Hjerte;word;body_parts;nouns;nouns;;
item_22;Hode;word;body_parts;nouns;nouns;;
item_23;Kne;word;body_parts;nouns;nouns;;
item_24;Lever;word;body_parts;nouns;nouns;;
item_25;Lunge;word;body_parts;nouns;nouns;;
item_26;Lepper;word;body_parts;nouns;nouns;;
item_27;Rygg;word;body_parts;nouns;nouns;;
item_28;Skjelett;word;body_parts;nouns;nouns;;
item_29;Snørr;word;body_parts;nouns;nouns;;
item_30;Sår;word;body_parts;nouns;nouns;;
item_31;Tarmer;word;body_parts;nouns;nouns;;
item_32;Mage;word;body_parts;nouns;nouns;;
item_33;Tå;word;body_parts;nouns;nouns;;
item_34;Tissetrengt;word;body_parts;predicates;verbs;;
item_35;Frisk;word;body_parts;predicates;adjectives;;
item_36;Hoste;word;body_parts;nouns;nouns;;
item_37;Prompe;word;body_parts;predicates;verbs;;
item_38;Gro (om sår);word;body_parts;predicates;verbs;;
item_39;Syk/sjuk;word;body_parts;predicates;adjectives;;
item_40;Svett;word;body_parts;predicates;adjectives;;
item_41;Trøtt;word;body_parts;predicates;adjectives;;
item_42;Tørst;word;body_parts;predicates;adjectives;;
item_43;Vondt;word;body_parts;nouns;nouns;;
item_44;Drøm;word;thoughts_ideas;nouns;nouns;;
item_45;Idé;word;thoughts_ideas;nouns;nouns;;
item_46;Løfte;word;thoughts_ideas;nouns;nouns;;
item_47;Fantasere;word;thoughts_ideas;predicates;verbs;;
item_48;Forklare;word;thoughts_ideas;predicates;verbs;;
item_49;Miste;word;thoughts_ideas;predicates;verbs;;
item_50;Forstå;word;thoughts_ideas;predicates;verbs;;
item_51;Prøve;word;thoughts_ideas;predicates;verbs;;
item_52;Gjette;word;thoughts_ideas;predicates;verbs;;
item_53;Glemme;word;thoughts_ideas;predicates;verbs;;
item_54;Dum;word;thoughts_ideas;predicates;adjectives;;
item_55;Huske;word;thoughts_ideas;predicates;verbs;;
item_56;Lur;word;thoughts_ideas;predicates;adjectives;;
item_57;Lyve/ljuge;word;thoughts_ideas;predicates;verbs;;
item_58;Love;word;thoughts_ideas;predicates;verbs;;
item_59;Lure på;word;thoughts_ideas;predicates;verbs;;
item_60;Lære;word;thoughts_ideas;predicates;verbs;;
item_61;Lese;word;thoughts_ideas;predicates;verbs;;
item_62;Mene;word;thoughts_ideas;predicates;verbs;;
item_63;Minne (på/om);word;thoughts_ideas;predicates;verbs;;
item_64;Telle;word;thoughts_ideas;predicates;verbs;;
item_65;Skrive;word;thoughts_ideas;predicates;verbs;;
item_66;Tro;word;thoughts_ideas;predicates;verbs;;
item_67;Tenke;word;thoughts_ideas;predicates;verbs;;
item_68;Undersøke;word;thoughts_ideas;predicates;verbs;;
item_69;Enig;word;thoughts_ideas;predicates;adjectives;;
item_70;Oppdage;word;thoughts_ideas;predicates;verbs;;
item_71;Advare;word;thoughts_ideas;predicates;verbs;;
item_72;(Gå seg) vill/Bort;word;thoughts_ideas;predicates;verbs;;
item_73;Ønske;word;thoughts_ideas;predicates;verbs;;
item_74;Sint;word;feelings;predicates;adjectives;;
item_75;Flau;word;feelings;predicates;adjectives;;
item_76;Slem;word;feelings;predicates;adjectives;;
item_77;Overrasket;word;feelings;predicates;adjectives;;
item_78;Glad;word;feelings;predicates;adjectives;;
item_79;Kose;word;feelings;predicates;verbs;;
item_80;Hate;word;feelings;predicates;verbs;;
item_81;Feire;word;feelings;predicates;verbs;;
item_82;Irritert;word;feelings;predicates;adjectives;;
item_83;Klappe;word;feelings;predicates;verbs;;
item_84;Klemme;word;feelings;predicates;verbs;;
item_85;Lei seg;word;feelings;predicates;verbs;;
item_86;Lykkelig;word;feelings;predicates;adjectives;;
item_87;Lengte;word;feelings;predicates;verbs;;
item_88;Modig;word;feelings;predicates;adjectives;;
item_89;Nervøs;word;feelings;predicates;adjectives;;
item_90;Nysgjerrig;word;feelings;predicates;adjectives;;
item_91;Rasende;word;feelings;predicates;adjectives;;
item_92;Morsomt;word;feelings;predicates;adjectives;;
item_93;Redd;word;feelings;predicates;adjectives;;
item_94;Skamme seg;word;feelings;predicates;verbs;;
item_95;Stolt;word;feelings;predicates;adjectives;;
item_96;Trygg;word;feelings;predicates;adjectives;;
item_97;Kjedelig;word;feelings;predicates;adjectives;;
item_98;Trøste;word;feelings;predicates;verbs;;
item_99;Angre;word;feelings;predicates;verbs;;
item_100;Ekkelt;word;feelings;predicates;adjectives;;
item_101;Elske;word;feelings;predicates;verbs;;
item_102;"A: Jeg vil ha dukken || B: Jeg vil ha dukken som kan lukke øyene";complexity;;;;;
item_103;"A: Jeg har en far (slektning) || B: Jeg har en far (slektning) som bor i Drammen (sted)";complexity;;;;;
item_104;"A: Vi skal dra || B: Vi skal dra til mormor";complexity;;;;;
item_105;"A: Jeg rydder senere || B: Jeg rydder senere når Eva har gått";complexity;;;;;
item_106;"A: Skru på lyset || B: Skru på lyset så jeg kan se";complexity;;;;;
item_107;"A: Jeg løper || B: Jeg løper hvis hunden kommer";complexity;;;;;
