text_type;text;item_type;category
cdiNameSufix;Ord og gester;;
longText;Dette skjemaet er den norske versjonen av “MacArthur-Bates Communicative Development Inventory: Words and Gestures” (CDI I – Ord og gester), tilpasset til norsk ved Kristian E. Kristoffersen (Frambu kompetansesenter for sjeldne diagnoser/Nord Universitet) og Hanne Gram Simonsen (Universitetet i Oslo). Skjemaet blir brukt til å registrere barns språkferdigheter på norsk, og metoden er basert på foreldrenes (eller andre omsorgspersoners) kunnskap om hvilke ord barna deres kan forstå og si, samt hvordan barnet kommuniserer med gester. Skjemaet er laget for norsktalende foreldre til barn mellom 8 og 18 måneder, og selv om skjemaet inneholder mange ord, trenger du ikke bekymre deg dersom barnet ditt ikke sier noen av ordene i skjemaet enda. Det er helt vanlig at barn i denne aldersgruppen ikke har begynt å snakke så mye, men flere gjør seg forstått ved å bruke gester og kroppsspråk. Det er ikke nødvendig å be barnet om å gjenta enkeltord eller lære det ord mens du fyller ut skjemaet. Det er nok at du krysser av de ordene du tror at barnet forstår eller kan si. Hvis du ikke ønsker å fylle ut skjemaet, kan du bare lukke nettleseren. Dersom du skulle ombestemme deg senere, kan du bare ta kontakt med oss. ;start;
menuButton;Forståelse;understanding;
header;Forståelse;understanding;
longText;Før barn begynner å snakke, viser de tegn på at de forstår språk ved å reagere på kjente ord og uttrykk. Her er noen vanlige eksempler. Gjør barnet ditt noe av dette?;understanding;firstPage
catHeader;De første tegnene på forståelse;understanding;first_signs
choiceNames;Ja, Nei;understanding;first_signs
catHeader;Faste uttrykk;understanding;phrases
instr;Kryss av de uttrykkene som det virker som om barnet ditt forstår;understanding;phrases
menuButton;Begynner å snakke;starting_to_talk;
header;Begynner å snakke;starting_to_talk;
choiceNames;Ikke ennå,Noen ganger,Ofte;starting_to_talk;
menuButton;Ord;word;
header;Sjekkliste over ordforrådet;word;
longText;Dette skjemaet inneholder lister over typiske ord i et barns ordforråd. Kryss av i den første kolonnen (forstår) dersom barnet ditt forstår ordet, men ennå ikke sier det. Ord som barnet både forstår og bruker, krysser du av i den andre kolonnen (forstår og sier). Om barnet bruker en annen uttale av et ord (for eksempel at det sier ‘epe’ istedenfor ‘eple’), krysser du av ordet likevel.;word;firstPage
warning;Husk at dette er en ‘katalog’ over ord som blir brukt av mange forskjellige barn, så ikke bli bekymret dersom barnet ditt kun kan noen få av disse ordene akkurat nå.;word;firstPage
instr;F = bare forstår, F&S = forstår og sier;word;allInput
choiceNames;F,F&S;word;allInput
catHeader;Lydeffekter og dyrelyder;word;sounds
catHeader;Navn på dyr (virkelige eller lekedyr);word;animals
catHeader;Kjøretøy (virkelige eller leketøy);word;vehicles
catHeader;Leker;word;toys
catHeader;Mat og drikke;word;food_drink
catHeader;Klær og tilbehør;word;clothing
catHeader;Kroppsdeler;word;body_parts
catHeader;Små gjenstander i huset;word;household
catHeader;Rom og møbler;word;furniture_rooms
catHeader;Ting utendørs;word;outside
catHeader;Steder å dra til;word;places
catHeader;Mennesker;word;people
catHeader;Leker og rutiner;word;games_routines
catHeader;Verb;word;action_words
catHeader;Beskrivende ord;word;descriptive_words
catHeader;Ord om tid;word;time_words
catHeader;Pronomen;word;pronouns
catHeader;Spørreord;word;question_words
catHeader;Preposisjoner og stedsangivelser;word;locations
catHeader;Mengdeord og bestemmerord;word;quantifiers
help;Sjekk om du har gått glipp av noen av sidene før du går til neste. Er du sikker på at du har krysset av for alle ordene barnet ditt forstår / sier?;word;quantifiers
menuButton;Handlinger og gester;gestures;
header;Handlinger og gester;gestures;
choiceNames;Ikke ennå,Noen ganger,Ofte;gestures;allInput
longText;I begynnelsen når spedbarn lærer å kommunisere, bruker de gester for å uttrykke hva de ønsker. Kryss av på lista for hvilke av gestene/handlingene barnet ditt bruker akkurat nå.;gestures;firstPage
catHeader;De første kommuniserende gestene;gestures;gestures_first
instr;Kryss av på lista for hvilke av gestene/handlingene som barnet ditt bruker akkurat nå.;gestures;gestures_first
catHeader;Leker og rutiner;gestures;gestures_games
instr;Gjør barnet ditt noe av det følgende?;gestures;gestures_games
catHeader;Handling med objekter;gestures;gestures_objects
instr;Gjør barnet ditt noe av det følgende, eller prøver han/hun å gjøre det?;gestures;gestures_objects
catHeader;Å leke at man er mor eller far;gestures;gestures_parent
instr;Her er ting som små barn av og til gjør med kosedyr eller dukker. Kryss av de handlingene du har sett ditt barn gjøre.;gestures;gestures_parent
catHeader;Herme etter det de voksne gjør;gestures;gestures_adult
instr;Gjør barnet ditt noe av det følgende, eller prøver han/hun å gjøre det?;gestures;gestures_adult
endMsgText;"Takk for at du fylte ut dette spørreskjemaet! Når du trykker på “Neste”, får du informasjon om hvordan du kan få en hilsen fra oss som du skal få som takk for hjelpen.";end;
redirectionBtn;Neste;end;
