text_type;text;item_type;category
cdiNameSufix;Ord og gester;;
fillers;mor, far, annet svar (vennligst skriv inn);;
longText;Spørreskjemaet brukes til å studere de tidlige stadiene av språkutviklingen hos små barn. Når du svarer på spørsmålene, skal du ikke teste barnet ditt, be det gjenta enkeltord eller prøve å lære det «nye ord». Stol på intuisjonen din, og observer barnet ditt hvis det er nødvendig.;start;
warning;Du kan gå tilbake til spørreskjemaet senere uten å miste dine tidligere svar: bare bruk samme lenke. For å fullføre må du bekrefte hver seksjon.;start;
menuButton;Forståelse;understanding;
header;Forståelse;understanding;
longText;Før barn begynner å snakke, viser de tegn på at de forstår språk ved å reagere på kjente ord og uttrykk. Her er noen vanlige eksempler. Gjør barnet ditt noe av dette?;understanding;firstPage
catHeader;De første tegnene på forståelse;understanding;first_signs
choiceNames;Ja, Nei;understanding;first_signs
catHeader;Faste uttrykk;understanding;phrases
instr;Kryss av de uttrykkene som det virker som om barnet ditt forstår;understanding;phrases
menuButton;Begynner å snakke;starting_to_talk;
header;Begynner å snakke;starting_to_talk;
choiceNames;Ikke ennå,Noen ganger,Ofte;starting_to_talk;
menuButton;Ord;word;
header;Sjekkliste over ordforrådet;word;
longText;"<p>På de neste sidene kommer det en liste over typiske ord som små barn kjenner til. Merk av for hvert ord:<br/></p><ul><li><strong>«F»</strong> hvis barnet ditt forstår ordet, men ikke sier det ennå,</li><li><strong>«S»</strong> hvis barnet ditt ikke bare forstår ordet, men også sier det.</li></li></ul><br/><p>Merk av ordet også når:<br/></p><ul><li>barnet ditt bruker en annen form, f.eks. en barneform «vov-vov» i stedet for «hund», eller en dialektform, f.eks. «ronse» eller «disse» i stedet for «huske»,</li><li>barnet ditt uttaler det annerledes, f.eks. «fue» i stedet for «flue» eller «djuej» i stedet for «druer»,</li><li>barnet ditt bruker sitt eget uttrykk, f.eks. «esketti» i stedet for «spagetti»,</li><li>familien din bruker et annet ord enn det som er oppgitt i spørreskjemaet.</li></ul><p><strong><br/>Merknader<br/></strong></p>I delen «Merknader» nederst på hver side kan du legge til andre former eller barnets eller familiens egne uttrykk for ordene fra listen.<strong><br /></strong></p>";word;firstPage
warning;VIKTIG: Spørreskjemaet er beregnet på barn i ulike aldre, så ikke bli bekymret dersom barnet ditt bare kan noen få av ordene akkurat nå.;word;firstPage
instr;F = bare forstår, F&S = forstår og sier;word;allInput
choiceNames;F,F&S;word;allInput
catHeader;Lydeffekter og dyrelyder;word;sounds
catHeader;Navn på dyr (virkelige eller lekedyr);word;animals
catHeader;Kjøretøy (virkelige eller leketøy);word;vehicles
catHeader;Leker;word;toys
catHeader;Mat og drikke;word;food_drink
catHeader;Klær og tilbehør;word;clothing
catHeader;Kroppsdeler;word;body_parts
catHeader;Små gjenstander i huset;word;household
catHeader;Rom og møbler;word;furniture_rooms
catHeader;Ting utendørs;word;outside
catHeader;Steder å dra til;word;places
catHeader;Mennesker;word;people
catHeader;Leker og rutiner;word;games_routines
catHeader;Verb;word;action_words
catHeader;Beskrivende ord;word;descriptive_words
catHeader;Ord om tid;word;time_words
catHeader;Pronomen;word;pronouns
catHeader;Spørreord;word;question_words
catHeader;Preposisjoner og stedsangivelser;word;locations
catHeader;Mengdeord og bestemmerord;word;quantifiers
help;Sjekk om du har gått glipp av noen av sidene før du går til neste. Er du sikker på at du har krysset av for alle ordene barnet ditt forstår / sier?;word;quantifiers
menuButton;Handlinger og gester;gestures;
header;Handlinger og gester;gestures;
choiceNames;Ikke ennå,Noen ganger,Ofte;gestures;allInput
longText;I begynnelsen når spedbarn lærer å kommunisere, bruker de gester for å uttrykke hva de ønsker. Kryss av på lista for hvilke av gestene/handlingene barnet ditt bruker akkurat nå.;gestures;firstPage
catHeader;De første kommuniserende gestene;gestures;gestures_first
instr;Kryss av på lista for hvilke av gestene/handlingene som barnet ditt bruker akkurat nå.;gestures;gestures_first
catHeader;Leker og rutiner;gestures;gestures_games
instr;Gjør barnet ditt noe av det følgende?;gestures;gestures_games
catHeader;Handling med objekter;gestures;gestures_objects
instr;Gjør barnet ditt noe av det følgende, eller prøver han/hun å gjøre det?;gestures;gestures_objects
catHeader;Å leke at man er mor eller far;gestures;gestures_parent
instr;Her er ting som små barn av og til gjør med kosedyr eller dukker. Kryss av de handlingene du har sett ditt barn gjøre.;gestures;gestures_parent
catHeader;Herme etter det de voksne gjør;gestures;gestures_adult
instr;Gjør barnet ditt noe av det følgende, eller prøver han/hun å gjøre det?;gestures;gestures_adult
endMsgText;Tusen takk for at du har fylt ut dette spørreskjemaet! Vi håper at du syntes det var interessant å reflektere over ditt barns språklige utvikling. Ditt bidrag til forskningen om barns språkutvikling er viktig - det vil hjelpe oss til å forstå den bedre.;end;
