item_id,definition,type,category,lexical_category,lexical_class,uni_lemma,complexity_category
item_1,au,word,sounds,other,other,ouch,
item_2,bææ,word,sounds,other,other,baa baa,
item_3,brrr (bil-lyd),word,sounds,other,other,vroom,
item_4,gakk gakk,word,sounds,other,other,quack quack,
item_5,grr,word,sounds,other,other,grrr,
item_6,kykeliky,word,sounds,other,other,cockadoodledoo,
item_7,mjau,word,sounds,other,other,meow,
item_8,møø,word,sounds,other,other,moo,
item_9,nam - nam,word,sounds,other,other,yum yum,
item_10,oi (uttrykk for overraskelse),word,sounds,other,other,,
item_11,tøff-tøff,word,sounds,other,other,choo choo,
item_12,voff voff,word,sounds,other,other,woof woof,
item_13,(meite)mark,word,animals,nouns,nouns,worm,
item_14,and,word,animals,nouns,nouns,duck,
item_15,apekatt,word,animals,nouns,nouns,monkey,
item_16,bjørn,word,animals,nouns,nouns,bear,
item_17,dyr,word,animals,nouns,nouns,animal,
item_18,ekorn,word,animals,nouns,nouns,squirrel,
item_19,elefant,word,animals,nouns,nouns,elephant,
item_20,elg,word,animals,nouns,nouns,moose,
item_21,esel,word,animals,nouns,nouns,,
item_22,fisk,word,animals,nouns,nouns,fish (animal),
item_23,flue,word,animals,nouns,nouns,fly (animal),
item_24,frosk,word,animals,nouns,nouns,frog,
item_25,fugl,word,animals,nouns,nouns,bird,
item_26,gås,word,animals,nouns,nouns,goose,
item_27,gris,word,animals,nouns,nouns,pig,
item_28,hane,word,animals,nouns,nouns,,
item_29,hest,word,animals,nouns,nouns,horse,
item_30,høne,word,animals,nouns,nouns,,
item_31,hund,word,animals,nouns,nouns,dog,
item_32,kanin,word,animals,nouns,nouns,bunny,
item_33,katt,word,animals,nouns,nouns,cat,
item_34,kattunge,word,animals,nouns,nouns,kitty,
item_35,krokodille,word,animals,nouns,nouns,,
item_36,ku,word,animals,nouns,nouns,cow,
item_37,kylling,word,animals,nouns,nouns,chicken (animal),
item_38,lam,word,animals,nouns,nouns,lamb,
item_39,(leke)bamse,word,animals,nouns,nouns,teddybear,
item_40,løve,word,animals,nouns,nouns,lion,
item_41,maur,word,animals,nouns,nouns,,
item_42,mus,word,animals,nouns,nouns,mouse,
item_43,mygg,word,animals,nouns,nouns,,
item_44,pingvin,word,animals,nouns,nouns,penguin,
item_45,ponni,word,animals,nouns,nouns,,
item_46,reinsdyr,word,animals,nouns,nouns,deer,
item_47,sau,word,animals,nouns,nouns,sheep,
item_48,sebra,word,animals,nouns,nouns,,
item_49,sjiraff,word,animals,nouns,nouns,giraffe,
