item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_1;Reagerer når han/hun hører navnet sitt (ved f.eks. å snu seg mot den som snakker);understanding;first_signs;;;;
item_2;"Reagerer på at noen sier ""nei, nei"" (ved å stoppe aktiviteten – i alle fall et øyeblikk)";understanding;first_signs;;;;
item_3;"Reagerer når noen sier ""der er pappa/mamma"" ved å se etter ham/henne.";understanding;first_signs;;;;
item_4;Er du sulten?;understanding;phrases;;;;
item_5;Er du trøtt?;understanding;phrases;;;;
item_6;Det var flink jente/gutt;understanding;phrases;;;;
item_7;Gap opp;understanding;phrases;;;;
item_8;Gi meg en klem;understanding;phrases;;;;
item_9;Gi meg et kyss;understanding;phrases;;;;
item_10;Gå og hent ________;understanding;phrases;;;;
item_11;Ikke gjør det;understanding;phrases;;;;
item_12;Ikke rør;understanding;phrases;;;;
item_13;Kast ballen;understanding;phrases;;;;
item_14;Klapp med hendene dine;understanding;phrases;;;;
item_15;Kom hit;understanding;phrases;;;;
item_16;La mamma få det;understanding;phrases;;;;
item_17;Nå sier vi ha det;understanding;phrases;;;;
item_18;På tide å legge seg;understanding;phrases;;;;
item_19;Reis deg (opp);understanding;phrases;;;;
item_20;Se her;understanding;phrases;;;;
item_21;Sett deg (ned);understanding;phrases;;;;
item_22;Skal vi kjøre en tur?;understanding;phrases;;;;
item_23;Slutt (opp);understanding;phrases;;;;
item_24;Spytt ut;understanding;phrases;;;;
item_25;Stå stille;understanding;phrases;;;;
item_26;Vil du ha mer?;understanding;phrases;;;;
item_27;Vær forsiktig;understanding;phrases;;;;
item_28;Vær stille;understanding;phrases;;;;
item_29;Skifte bleie;understanding;phrases;;;;
item_30;"Noen barn liker å etterlikne (imitere) det de nettopp har hørt. Det kan være nye ord de holder på å lære og/eller deler av setninger, som for eksempel at de sier ""jobb nå"" etter at de har hørt at ""mamma skal gå på jobb nå"". Hvor ofte hermer barnet ditt etter ord?";starting_to_talk;;;;;
