item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_1;au;word;sounds;other;other;ouch;;1
item_2;bææ;word;sounds;other;other;baa baa;;2
item_3;brrr (billyd);word;sounds;other;other;vroom;;3
item_4;gakk gakk;word;sounds;other;other;quack quack;;4
item_5;grr;word;sounds;other;other;grrr;;5
item_6;kykeliky;word;sounds;other;other;cockadoodledoo;;6
item_7;mjau;word;sounds;other;other;meow;;7
item_8;møø;word;sounds;other;other;moo;;8
item_9;nam - nam;word;sounds;other;other;yum yum;;9
item_10;oi (for overraskelse);word;sounds;other;other;NA;;10
item_11;tøff-tøff;word;sounds;other;other;choo choo;;11
item_12;voff voff;word;sounds;other;other;woof woof;;12
item_13;(meite)mark;word;animals;nouns;nouns;worm;;13
item_14;and;word;animals;nouns;nouns;duck;;14
item_15;apekatt;word;animals;nouns;nouns;monkey;;15
item_16;bjørn;word;animals;nouns;nouns;bear;;16
item_17;dyr;word;animals;nouns;nouns;animal;;17
item_18;ekorn;word;animals;nouns;nouns;squirrel;;18
item_19;elefant;word;animals;nouns;nouns;elephant;;19
item_20;elg;word;animals;nouns;nouns;moose;;20
item_21;esel;word;animals;nouns;nouns;NA;;21
item_22;fisk;word;animals;nouns;nouns;fish (animal);;22
item_23;flue;word;animals;nouns;nouns;fly (animal);;23
item_24;frosk;word;animals;nouns;nouns;frog;;24
item_25;fugl;word;animals;nouns;nouns;bird;;25
item_26;gås;word;animals;nouns;nouns;goose;;26
item_27;gris;word;animals;nouns;nouns;pig;;27
item_28;hane;word;animals;nouns;nouns;NA;;28
item_29;hest;word;animals;nouns;nouns;horse;;29
item_30;høne;word;animals;nouns;nouns;NA;;30
item_31;hund;word;animals;nouns;nouns;dog;;31
item_32;kanin;word;animals;nouns;nouns;bunny;;32
item_33;katt;word;animals;nouns;nouns;cat;;33
item_34;kattunge;word;animals;nouns;nouns;kitty;;34
item_35;krokodille;word;animals;nouns;nouns;NA;;35
item_36;ku;word;animals;nouns;nouns;cow;;36
item_37;kylling;word;animals;nouns;nouns;chicken (animal);;37
item_38;lam;word;animals;nouns;nouns;lamb;;38
item_39;lekebamse;word;animals;nouns;nouns;teddybear;;39
item_40;løve;word;animals;nouns;nouns;lion;;40
item_41;maur;word;animals;nouns;nouns;NA;;41
item_42;mus;word;animals;nouns;nouns;mouse;;42
item_43;mygg;word;animals;nouns;nouns;NA;;43
item_44;pingvin;word;animals;nouns;nouns;penguin;;44
item_45;ponni;word;animals;nouns;nouns;NA;;45
item_46;reinsdyr;word;animals;nouns;nouns;deer;;46
item_47;sau;word;animals;nouns;nouns;sheep;;47
item_48;sebra;word;animals;nouns;nouns;NA;;48
item_49;sjiraff;word;animals;nouns;nouns;giraffe;;49
item_50;skilpadde;word;animals;nouns;nouns;turtle;;50
item_51;sommerfugl;word;animals;nouns;nouns;butterfly;;51
item_52;tiger;word;animals;nouns;nouns;tiger;;52
item_53;ugle;word;animals;nouns;nouns;owl;;53
item_54;ulv;word;animals;nouns;nouns;NA;;54
item_55;valp;word;animals;nouns;nouns;puppy;;55
item_56;veps;word;animals;nouns;nouns;bee;;56
item_57;akebrett;word;vehicles;nouns;nouns;NA;;57
item_58;barnevogn;word;vehicles;nouns;nouns;stroller;;58
item_59;bil;word;vehicles;nouns;nouns;car;;59
item_60;brannbil;word;vehicles;nouns;nouns;firetruck;;60
item_61;båt;word;vehicles;nouns;nouns;NA;;61
item_62;buss;word;vehicles;nouns;nouns;bus;;62
item_63;fly;word;vehicles;nouns;nouns;airplane;;63
item_64;helikopter;word;vehicles;nouns;nouns;helicopter;;64
item_65;lastebil;word;vehicles;nouns;nouns;truck;;65
item_66;motorsykkel;word;vehicles;nouns;nouns;motorcycle;;66
item_67;sykkel;word;vehicles;nouns;nouns;bicycle;;67
item_68;tog;word;vehicles;nouns;nouns;train;;68
item_69;traktor;word;vehicles;nouns;nouns;tractor;;69
