text_type;text;item_type;category
longText;FORELDRERAPPORT FOR KOMMUNIKATIV UTVIKLING: ORD OG GESTER. Her følger lister over typiske ord i et barns ordforråd. Kryss av i den første kolonnen (forstår) dersom barnet ditt forstår ordet, men ennå ikke sier det. Ord som barnet både forstår og bruker, krysser du av i den andre kolonnen (forstår og sier). Om barnet bruker en annen uttale av et ord (for eksempel at det sier ”epe” istedenfor ”eple”) krysser du av ordet likevel. Husk at dette er en ”katalog” over ord som blir brukt av mange forskjellige barn, så ikke bli bekymret dersom barnet ditt kun kan noen få av dem akkurat nå.;start;
warning;VIKTIG: Fullføring av spørreskjemaet vil bare være mulig etter at alle delene er godkjent. Du kan når som helst slutte å fylle ut, noe som ikke vil føre til at du mister de forrige svarene. For å gå tilbake til fylling (f.eks. på en annen enhet, men beholdningen kan ikke åpnes på flere enheter samtidig), bruk nøyaktig samme lenke.;start;
help;MERK: Etter å ha bekreftet startdelen, vil det ikke være mulig å besøke den igjen.;start;
backBtn;Gå tilbake;;
nextBtn;Fortsett;;
confBtn;Bekreft;;
startBtn;Start;;
dateLabel;Barnets fødselsdato;;
genderLabel;Barnets kjønn;;
modalTitle;Merk!;;
fillerLabel;Hva er din relasjon til barnet?;;
fillers;mor / forelder 1, far / forelder 2, bestemor, bestefar, barnepasser, lærer, annet;;
noGender;Velg kjønn for å bekrefte.;;
badDate;Feil fødselsdato;;
genders;Jente, Gutt, Annen;;
commentLabel;Andre kommentarer;;
cdiNamePrefix;Foreldrerapport for Kommunikativ Utvikling;;
endTooltip;Det vil være mulig å fullføre varelageret når alle delene er godkjent.;;
sentences3Tooltip;"Avsnittet ""Setninger"" blir aktiv, avhengig av svaret i ""Kombinasjon av ord"" -delen.";;
header;Slutt;end;
endBtn;Bli ferdig;end;
instr;"På dette punktet kan du fremdeles redigere svarene dine, til tross for at du godkjenner alle delene. For å endelig være ferdig med å fylle lageret, klikk nå ""Send"" -knappen.";end;
help;MERKNAD: Etter validering av beholdningen vil du ikke kunne redigere svaret lenger!;end;
help;Takk for at du fylte ut!;postEnd;
help;Takk for at du fylte ut!;postEndSW;
instr;"Tusen takk for tid og krefter for å fylle ut dette spørreskjemaet!";postEnd;
instr;"Tusen takk for tid og krefter for å fylle ut dette spørreskjemaet! Følg varslinger i appen";postEndSW;
error;Feil oppstod. Oppdater og prøv igjen.;;
refresh;Oppdater;;
badForm;Feil skjemaparameterverdi i URL. De tilgjengelige verdiene er: ;;none
inventoryOpened;Spørreskjemaet er nå åpen. Lukk spørreskjemaet hvis det er åpent et annet sted og / eller oppdater siden.;;
