text_type;text
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji
cdiNameSufix;wersja adaptatywna
birthQuestion;Data urodzin dziecka
genderQuestion;Płeć dziecka
genders;dziewczynka,chłopiec,inna
btn;Start
noGender;Proszę wybrać płeć dziecka.
modalTitle;Uwaga!
testInstr;Proszę odpowiedzieć na pytanie.
choiceNames;Nie, Tak
thanks;Dziękujemy za wypełnienie inwentarza!
end;Koniec!
alreadyFilled;Ten inwentarz został już przez Ciebie wypełniony.
fillerQuestion;Kim Państwo są dla dziecka?
fillers;mama,tata,babcia,dziadek,niania,nauczyciel(-ka),inna odpowiedź (proszę wpisać):
noFiller;Proszę wybrać osobę, która wypełnia kwestionariusz
email;yes
error;Wystąpił błąd. Proszę odświeżyć i spróbować ponownie. Jeśli błąd się powtarza prosimy o zrobienie screena tego komunikatu i wysłanie na maila projekt.starwords@psych.uw.edu.pl lub przez media społecznościowe.
refresh;Odśwież
commentLabel;Uwagi
endText;Koniec ostatniej części. Proszę nacisnąć przycisk, aby zakończyć.
endBtn;Zakończ
