age,gender,theta,group
16,chłopiec,-1.51639950477009,mowa
17,chłopiec,-1.41891251894088,mowa
18,chłopiec,-1.13201006747112,mowa
16,dziewczynka,-1.42323942150141,mowa
17,dziewczynka,-1.16273448138563,mowa
18,dziewczynka,-1.04609032488862,mowa
16,chłopiec,-1.39652333787351,rozumienie
17,chłopiec,-1.39525480735145,rozumienie
18,chłopiec,-1.19744066208847,rozumienie
16,dziewczynka,-1.47374685436982,rozumienie
17,dziewczynka,-1.25466961674701,rozumienie
18,dziewczynka,-0.92982325524112,rozumienie
16,chłopiec,-1.56678442326925,gesty
17,chłopiec,-1.48274367919295,gesty
18,chłopiec,-1.10663945544436,gesty
16,dziewczynka,-1.31125841247427,gesty
17,dziewczynka,-1.25467938373836,gesty
18,dziewczynka,-0.986340714479945,gesty
