text_type;text;test
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji;
cdiNameSufix;wersja adaptatywna;
birthQuestion;Data urodzin dziecka;
genderQuestion;Płeć dziecka;
genders;dziewczynka,chłopiec,inna;
btn;Start;
noGender;Proszę wybrać płeć dziecka.;
testInstr;Proszę odpowiedzieć na pytanie.;
question;Czy Twoje dziecko mówi;
choiceNames;Nie, Tak;
thanks;Dziękujemy za wypełnienie inwentarza!;
fillerQuestion;Kim Państwo są dla dziecka?;
fillers;mama,tata,babcia,dziadek,niania,nauczyciel(-ka),inna odpowiedź (proszę wpisać):;
noFiller;Proszę wybrać osobę, która wypełnia kwestionariusz;
groups;mowa,rozumienie,gesty;
rozumienieBtn;Koniec części pierwszej, proszę przejść do części drugiej;
gestyBtn;Koniec części drugiej, proszę przejść do części trzeciej (ostatniej);
continueBtn;Dalej;
rozumienieMirtMethod;ML;
rozumienieMirtCriteria;MI;
rozumienieHeader;Rozumienie słów;
rozumienieHeaderColor;lightsalmon;
gestyMirtMethod;ML;
gestyMirtCriteria;MI;
gestyHeader;Gesty;
gestyHeaderColor;lightsteelblue;
mowaMirtMethod;ML;
mowaMirtCriteria;MI;
mowaHeader;Produkcja słów;
mowaHeaderColor;lightgreen;
rozumienieMirtSeTheta;0.05;
mowaMirtSeTheta;0.05;
gestyMirtSeTheta;0.5;
rozumieniemaxItemNr;5;
mowamaxItemNr;5;
gestymaxItemNr;7;
rozumienieminItemNr;1;
mowaminItemNr;1;
gestyminItemNr;1;
email;yes;
