age,gender,theta,group
8,dziewczynka,-1.73784339101847,gesty
9,dziewczynka,-1.34930390792381,gesty
10,dziewczynka,-1.00596448547209,gesty
11,dziewczynka,-0.867022859705796,gesty
12,dziewczynka,-0.363759061462274,gesty
13,dziewczynka,-0.370020297814867,gesty
14,dziewczynka,-0.00363478782659343,gesty
15,dziewczynka,0.176905628405525,gesty
16,dziewczynka,0.18584456434764,gesty
17,dziewczynka,0.238228860973829,gesty
18,dziewczynka,0.512338440134159,gesty
8,chłopiec,-1.62970138874753,gesty
9,chłopiec,-1.33552397509814,gesty
10,chłopiec,-1.2622730659025,gesty
11,chłopiec,-0.916630013055504,gesty
12,chłopiec,-0.624300485216239,gesty
13,chłopiec,-0.562628190040806,gesty
14,chłopiec,-0.257664602227241,gesty
15,chłopiec,-0.10171599108904,gesty
16,chłopiec,-0.0684825199573431,gesty
17,chłopiec,0.00552481521191484,gesty
18,chłopiec,0.391305369417997,gesty
8,dziewczynka,-1.62473845410931,rozumienie
9,dziewczynka,-1.34505003081363,rozumienie
10,dziewczynka,-0.96655093958458,rozumienie
11,dziewczynka,-0.688082550166672,rozumienie
12,dziewczynka,-0.461115040564174,rozumienie
13,dziewczynka,-0.36615563051998,rozumienie
14,dziewczynka,-0.111364227023595,rozumienie
15,dziewczynka,-0.00206518353889035,rozumienie
16,dziewczynka,0.0795531198827377,rozumienie
17,dziewczynka,0.0111022096663541,rozumienie
18,dziewczynka,0.356689115448339,rozumienie
8,chłopiec,-1.22070638783744,rozumienie
9,chłopiec,-1.29030247272487,rozumienie
10,chłopiec,-1.07788439994955,rozumienie
11,chłopiec,-0.89348000581263,rozumienie
12,chłopiec,-0.707212644416641,rozumienie
13,chłopiec,-0.505741946258463,rozumienie
14,chłopiec,-0.353687453797994,rozumienie
15,chłopiec,-0.0448729106902283,rozumienie
16,chłopiec,0.162481592849513,rozumienie
17,chłopiec,0.111941461513049,rozumienie
18,chłopiec,0.204149355741557,rozumienie
8,dziewczynka,-1.60318866670583,mowa
9,dziewczynka,-1.3349841480996,mowa
10,dziewczynka,-0.997297356621735,mowa
11,dziewczynka,-0.746735849817509,mowa
12,dziewczynka,-0.572838687302501,mowa
13,dziewczynka,-0.419056949302645,mowa
14,dziewczynka,-0.15270776062954,mowa
15,dziewczynka,0.00445411686520314,mowa
16,dziewczynka,0.0262627256342444,mowa
17,dziewczynka,0.245339867732244,mowa
18,dziewczynka,0.570186195566189,mowa
8,chłopiec,-1.24156769116355,mowa
9,chłopiec,-1.28849561103183,mowa
10,chłopiec,-1.1242131677909,mowa
11,chłopiec,-0.969258603666878,mowa
12,chłopiec,-0.73664278283093,mowa
13,chłopiec,-0.593649021883775,mowa
14,chłopiec,-0.407719730049809,mowa
15,chłopiec,-0.0790652742943623,mowa
16,chłopiec,0.103486249344848,mowa
17,chłopiec,0.104754737732195,mowa
18,chłopiec,0.302568858747544,mowa
