age,gender,theta,group
18,dziewczynka,-1.06202796206417,mowa
19,dziewczynka,-1.30430020451283,mowa
20,dziewczynka,-1.21427158928945,mowa
21,dziewczynka,-1.03410811725517,mowa
22,dziewczynka,-0.892333478238449,mowa
23,dziewczynka,-0.837629625903416,mowa
24,dziewczynka,-0.89752816188851,mowa
25,dziewczynka,-0.554854777229076,mowa
26,dziewczynka,-0.269430608702364,mowa
27,dziewczynka,-0.169008113661222,mowa
28,dziewczynka,-0.361626561381419,mowa
29,dziewczynka,-0.016293384788558,mowa
30,dziewczynka,-0.0683184021038887,mowa
31,dziewczynka,0.0795159056145508,mowa
32,dziewczynka,0.0721479862862138,mowa
33,dziewczynka,0.274603460535869,mowa
34,dziewczynka,0.340383443109293,mowa
35,dziewczynka,0.290518001631989,mowa
36,dziewczynka,0.341669167150542,mowa
18,chłopiec,-1.39993949504613,mowa
19,chłopiec,-1.34316496496662,mowa
20,chłopiec,-1.33095279962814,mowa
21,chłopiec,-1.4403762963587,mowa
22,chłopiec,-0.938390053955915,mowa
23,chłopiec,-0.951716546207482,mowa
24,chłopiec,-1.06191340634598,mowa
25,chłopiec,-0.774378915679912,mowa
26,chłopiec,-0.654260709672189,mowa
27,chłopiec,-0.583515211465366,mowa
28,chłopiec,-0.61075296450865,mowa
29,chłopiec,-0.500523213210979,mowa
30,chłopiec,-0.309152781631224,mowa
31,chłopiec,-0.224651319211244,mowa
32,chłopiec,-0.227860286514301,mowa
33,chłopiec,-0.0526609100861775,mowa
34,chłopiec,0.127022564921955,mowa
35,chłopiec,0.207058268543604,mowa
36,chłopiec,0.260095945642682,mowa
