,a1,d,item,question
item1,1.23138524388075,0.405483351886401,gę gę,Czy Twoje dziecko mówi
item2,1.35386870628754,2.89042878862175,hau hau,Czy Twoje dziecko mówi
item3,1.22826577610391,2.12653266696281,ko ko ko,Czy Twoje dziecko mówi
item4,1.52956729905576,1.49589133582856,kwa kwa,Czy Twoje dziecko mówi
item5,1.39348290633965,2.77438117056279,miau,Czy Twoje dziecko mówi
item6,1.29965654481926,1.64131548456154,mee bee,Czy Twoje dziecko mówi
item7,1.38365125894468,2.47799291781542,muu  krowa ,Czy Twoje dziecko mówi
item8,1.1271224958264,0.715550049560748,pi pi pi ćwir ćwir,Czy Twoje dziecko mówi
item9,0.755455622303629,1.38622108095382,bam bum bęc,Czy Twoje dziecko mówi
item10,0.818206239721638,1.5820247452698,brrum brrum,Czy Twoje dziecko mówi
item11,1.58479926902752,0.771763380955884,tik tak,Czy Twoje dziecko mówi
item12,1.13658142225624,0.840238155627176,tralala lalala,Czy Twoje dziecko mówi
item13,2.43162168388127,-0.218870614469224,baran,Czy Twoje dziecko mówi
item14,3.62882952331884,0.137726839132282,biedronka,Czy Twoje dziecko mówi
item15,2.9432330867363,-0.31341206017346,bocian,Czy Twoje dziecko mówi
item16,2.55893505902479,-0.766382087602793,foka,Czy Twoje dziecko mówi
item17,2.12431741761044,-0.639900219432973,gęś,Czy Twoje dziecko mówi
item18,2.58735070485951,-0.778710353942218,gołąb,Czy Twoje dziecko mówi
item19,2.90281368342521,-0.541206770751403,jeż,Czy Twoje dziecko mówi
item20,2.6178385869125,1.15883479687528,kaczka,Czy Twoje dziecko mówi
item21,2.35910614449616,0.078019125261643,kogut,Czy Twoje dziecko mówi
item22,2.77054561737004,1.73417703375554,koń,Czy Twoje dziecko mówi
item23,2.58090361223077,3.09827816371303,kot,Czy Twoje dziecko mówi
item24,2.69283142324546,-0.130413574008895,koza,Czy Twoje dziecko mówi
item25,2.76151284605267,1.74997289859053,krowa,Czy Twoje dziecko mówi
item26,3.1766913505227,0.059320439865719,królik,Czy Twoje dziecko mówi
item27,2.67307351121665,1.81244678386503,kura,Czy Twoje dziecko mówi
item28,2.12134905640328,-1.28442100368917,kurczątko,Czy Twoje dziecko mówi
item29,2.84950242409146,0.483737603248925,lew,Czy Twoje dziecko mówi
item30,2.72763115279214,-0.223388460917203,lis,Czy Twoje dziecko mówi
item31,3.08102523160744,0.402590355469381,małpa,Czy Twoje dziecko mówi
item32,2.42472631909309,1.2147326750557,miś niedźwiedź,Czy Twoje dziecko mówi
item33,3.75382968533949,0.069007855709273,motylek,Czy Twoje dziecko mówi
item34,3.62990779019329,-0.835985058644601,mrówka,Czy Twoje dziecko mówi
item35,3.10123410764956,1.26795964165362,mucha,Czy Twoje dziecko mówi
item36,3.42271540060668,0.621547857592157,myszka,Czy Twoje dziecko mówi
item37,3.44752937795183,-0.38170467616236,pająk,Czy Twoje dziecko mówi
item38,2.47865502723727,2.5186180675481,pies,Czy Twoje dziecko mówi
item39,3.04744864182047,-1.08433278000211,pingwin,Czy Twoje dziecko mówi
item40,3.17798323641325,0.89328768909845,ptaszek,Czy Twoje dziecko mówi
item41,3.67074418802879,-0.279127276414981,robak,Czy Twoje dziecko mówi
item42,3.49095219457203,1.49935771340304,ryba,Czy Twoje dziecko mówi
item43,3.25618446391709,0.518610605376144,słoń,Czy Twoje dziecko mówi
item44,2.61705103136815,-0.317884017628774,sowa,Czy Twoje dziecko mówi
item45,3.70158157111798,-0.267809268928413,ślimak,Czy Twoje dziecko mówi
item46,3.02503214959037,0.532753352490288,świnka,Czy Twoje dziecko mówi
item47,2.96606079146206,-0.623095733948568,tygrys,Czy Twoje dziecko mówi
item48,2.86539778427088,-0.443349494424624,wąż,Czy Twoje dziecko mówi
item49,3.47395289084047,-0.990159054609545,wiewiórka,Czy Twoje dziecko mówi
item50,2.96993693359947,-0.701642003614226,wilk,Czy Twoje dziecko mówi
item51,3.44085693791983,-0.718928057169007,zając,Czy Twoje dziecko mówi
item52,3.89847589998845,-1.31138318763174,zwierzątko,Czy Twoje dziecko mówi
item53,3.13465687491241,1.12051006346202,żaba,Czy Twoje dziecko mówi
item54,3.34808342952557,-0.449956788744654,żółw,Czy Twoje dziecko mówi
item55,3.35796868757938,-0.430813367310773,żyrafa,Czy Twoje dziecko mówi
item56,2.79616252987389,3.88208230287244,auto samochód,Czy Twoje dziecko mówi
item57,2.88781528830459,0.660360166497425,autobus,Czy Twoje dziecko mówi
