item,a1,d,question,group,id
gę gę,1.23157250053406,0.405586543680177,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_1
hau hau,1.35410381819425,2.89081167841174,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_2
ko ko ko,1.22863084755515,2.12689987047838,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_3
kwa kwa,1.52972299313975,1.49609639400431,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_4
mee/bee,1.2998552489283,1.64154149084416,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_6
muu [krowa],1.38386054266854,2.47832235240016,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_7
pi pi pi/ćwir ćwir,1.12732459070274,0.71567797960199,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_8
bam/bum/bęc,0.755379752480492,1.38627214978801,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_9
brrum brrum [auto],0.818216498585721,1.58211436817388,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_10
tik tak,1.58522308139194,0.771948139023492,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_11
tralala/lalala,1.1367935468205,0.840379322087945,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_12
miś/niedźwiedź,2.42460955825549,1.21474723018011,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_32
auto/samochód,2.7955386145676,3.88211520737456,POJAZDY – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_56
motor/motocykl,3.06807646590507,0.501412283035098,POJAZDY – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_62
pogotowie/karetka,2.01471119001283,-0.275249507467665,POJAZDY – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_64
guma do żucia,2.19973544263075,-0.85074486765087,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_88
jedzenie/papu/am,1.87944241276883,1.6900544860478,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_92
kanapka/kromka,3.85380646991615,-0.284550671104511,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_95
makaron/kluski,4.54320043487877,-0.105361558433588,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_105
masło/margaryna,4.51263165024786,-0.463076443889585,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_108
parówka/kiełbaska,4.25199362415201,0.57161549922098,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_116
ziemniaki/kartofle,4.57803995716646,-0.0954329381299012,POKARMY I NAPOJE: Czy dziecko mówi...,mowa,item_134
kartka/papier,4.97599832087568,0.144825009695836,ZABAWKI: Czy dziecko mówi...,mowa,item_140
pisak/długopis,3.33934874860954,0.220962034771546,ZABAWKI: Czy dziecko mówi...,mowa,item_149
kalosze/gumowce,4.05399638179343,-0.397851497446268,UBRANIA: Czy dziecko mówi...,mowa,item_159
pantofle/kapcie,3.39334372276099,-0.316904375015421,UBRANIA: Czy dziecko mówi...,mowa,item_165
pieluszka/pampers,3.68653585056561,0.851070964711552,UBRANIA: Czy dziecko mówi...,mowa,item_167
rajstopy/rajtuzy,4.18875930554141,-0.572003557780157,UBRANIA: Czy dziecko mówi...,mowa,item_169
paznokcie/pazurki,5.30716264463763,-0.912433982885304,CZĘŚCI CIAŁA: Czy dziecko mówi...,mowa,item_192
firanka/zasłona,3.93016715752718,-1.32952524065779,"W DOMU: POMIESZCZENIA, SPRZĘTY, MEBLE: Czy dziecko mówi...",mowa,item_208
korytarz/przedpokój,3.8636706878234,-2.30118086023428,"W DOMU: POMIESZCZENIA, SPRZĘTY, MEBLE: Czy dziecko mówi...",mowa,item_210
półka/regał,4.54439499240553,-2.12363301802578,"W DOMU: POMIESZCZENIA, SPRZĘTY, MEBLE: Czy dziecko mówi...",mowa,item_221
ubikacja/ustęp,3.31503745091076,-0.947153215258901,"W DOMU: POMIESZCZENIA, SPRZĘTY, MEBLE: Czy dziecko mówi...",mowa,item_232
aparat/kamera,3.73422392853551,-0.984686781247025,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_235
koc/kołdra,4.26217852772089,0.935428223242542,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_244
lekarstwa/tabletki,4.43339823425637,-1.10807952872208,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_248
szczoteczka do zębów,4.32316222819522,-0.0294287011730783,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_268
szmata/ścierka,4.72123169683743,-1.57019162623517,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_271
telefon/komórka,3.52222854076461,1.47928940975639,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_275
zdjęcie/fotografia,5.08852649276884,-0.642370775712552,PRZEDMIOTY DOMOWEGO UŻYTKU: Czy dziecko mówi...,mowa,item_280
kijek/patyk,4.46944389039043,0.0868626335872396,NA DWORZE: Czy dziecko mówi...,mowa,item_295
piasek/piaskownica,5.51860787810231,0.654046827990695,NA DWORZE: Czy dziecko mówi...,mowa,item_303
imieniny/urodziny,4.00909285456145,-1.50832109855472,"MIEJSCA, GDZIE MOŻNA PÓJŚĆ: Czy dziecko mówi...",mowa,item_316
