item_id;definition;language;form;type;category;lexical_category;lexical_class;uni_lemma;complexity_category ;num_item_id
item_1;Wujek będzie śpiewać piosenkę%Wujek zaśpiewa piosenkę;Polish;CDI3;alternatives;grupa1;;;;;1
item_2;Przyjedzie ciocia i będziemy się bawić%Przyjedzie ciocia;Polish;CDI3;alternatives;grupa1;;;;;2
item_3;Jem kanapkę i piję wodę%Jem kanapkę. Piję wodę.;Polish;CDI3;alternatives;grupa1;;;;;3
item_4;Sam(-a) założę spodnie, bo jestem duży(-a)%Sam(-a) założę spodnie;Polish;CDI3;alternatives;grupa1;;;;;4
item_5;Jak był śnieg, to lepiłem(-am) bałwana%Był śnieg i lepiłem(-am) bałwana;Polish;CDI3;alternatives;grupa1;;;;;5
item_6;Jeśli będzie padać, zostaniemy w domu%Będzie padać. Zostaniemy w domu;Polish;CDI3;alternatives;grupa1;;;;;6
item_7;Jem zupę, którą zrobił tata%Jem zupę;Polish;CDI3;alternatives;grupa1;;;;;7
item_8;Jestem wesoła(-y) i śpiewam piosenki%Jestem wesoła(-y). Śpiewam piosenki.;Polish;CDI3;alternatives;grupa1;;;;;8
item_9;Chciał(a)bym banana%Chcę banana;Polish;CDI3;alternatives;grupa1;;;;;9
item_10;Jak wrócę do domu, to zjem obiad%W domu zjem obiad;Polish;CDI3;alternatives;grupa1;;;;;10
item_11;Schowajmy klocki%Chowamy klocki;Polish;CDI3;alternatives;grupa1;;;;;11
item_12;Jestem zmęczony(-a), więc idę spać%Jestem zmęczony(-a);Polish;CDI3;alternatives;grupa1;;;;;12
item_13;Jestem głodny(-a), więc zjem banana%Jestem głodny(-a). Zjem banana;Polish;CDI3;alternatives;grupa1;;;;;13
item_14;Mama śpi, bo jest zmęczona%Mama śpi;Polish;CDI3;alternatives;grupa1;;;;;14
item_15;Przyjedzie ciocia i będziemy się bawić%Przyjedzie ciocia. Będziemy się bawić.;Polish;CDI3;alternatives;grupa1;;;;;15
item_16;Jedziemy do sklepu samochodem%Jedziemy do sklepu;Polish;CDI3;alternatives;grupa1;;;;;16
item_17;Czytam bajkę o zwierzątkach%Czytam bajkę;Polish;CDI3;alternatives;grupa1;;;;;17
item_18;Jem zupę, którą zrobił tata%Tata zrobił zupę. Jem zupę;Polish;CDI3;alternatives;grupa2;;;;;18
item_19;Tata śpi na łóżku%Tata śpi;Polish;CDI3;alternatives;grupa2;;;;;19
item_20;Nie wyjdziemy, bo pada deszcz%Nie wyjdziemy;Polish;CDI3;alternatives;grupa2;;;;;20
item_21;Odkręć wodę, żebym umył(-a) rączki%Odkręć wodę. Umyję rączki;Polish;CDI3;alternatives;grupa2;;;;;21
item_22;Siadajcie tutaj%Siadacie tutaj;Polish;CDI3;alternatives;grupa2;;;;;22
item_23;Tata powiedział, że lubi pierogi%Tata powiedział: lubię pierogi;Polish;CDI3;alternatives;grupa2;;;;;23
item_24;Widzę ptaszki, które latają po niebie%Widzę ptaszki. Latają po niebie.;Polish;CDI3;alternatives;grupa2;;;;;24
item_25;Zapalę światło, żebyś widział%Zapalę światło;Polish;CDI3;alternatives;grupa2;;;;;25
item_26;Nie wyjdziemy, bo pada deszcz%Pada deszcz i nie wyjdziemy;Polish;CDI3;alternatives;grupa2;;;;;26
item_27;Mam worek z butami%Mam worek;Polish;CDI3;alternatives;grupa2;;;;;27
item_28;Szukam misia, ale nie mogę go znaleźć.%Szukam misia i nie mogę znaleźć;Polish;CDI3;alternatives;grupa2;;;;;28
item_29;Jest ładna pogoda, więc pójdziemy na spacer%Jest ładna pogoda;Polish;CDI3;alternatives;grupa2;;;;;29
item_30;Mam klocki w koszyku%Mam klocki;Polish;CDI3;alternatives;grupa2;;;;;30
