item_id;definition;language;form;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_231;kropka;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;231
item_274;dzielić się;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;274
item_248;pszczoła;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;248
item_277;rosnąć;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;277
item_220;dentysta;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;220
item_226;klej;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;226
item_228;kolorowanka;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;228
item_223;film;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;223
item_230;kreska;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;230
item_263;dorosły;Polish;CDI3;word;child_world;adjectives;adjectives;NA;NA;263
item_246;porządek;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;246
item_233;kwadrat;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;233
item_279;wygrywać;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;279
item_251;smok;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;251
item_254;trójkąt;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;254
item_281;żartować;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;281
item_250;słowo;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;250
item_270;lepić;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;270
item_252;strona (stronica);Polish;CDI3;word;child_world;nouns;nouns;NA;NA;252
item_258;żart;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;258
item_275;sadzić;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;275
item_276;przegrywać;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;276
item_237;maska;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;237
item_260;ziarenko;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;260
item_266;przebrany/przebieraniec;Polish;CDI3;word;child_world;adjectives;adjectives;NA;NA;266
item_247;przedstawienie;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;247
item_265;magiczny;Polish;CDI3;word;child_world;adjectives;adjectives;NA;NA;265
item_271;leżakować;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;271
item_232;kryjówka;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;232
item_280;zaczarować;Polish;CDI3;word;child_world;verbs;verbs;NA;NA;280
item_268;zaczarowany;Polish;CDI3;word;child_world;adjectives;adjectives;NA;NA;268
item_253;sylaba;Polish;CDI3;word;child_world;nouns;nouns;NA;NA;253
item_62;usta;Polish;CDI3;word;body;nouns;nouns;NA;NA;62
item_48;krew;Polish;CDI3;word;body;nouns;nouns;NA;NA;48
item_41;gorączka;Polish;CDI3;word;body;nouns;nouns;NA;NA;41
item_74;goić (się);Polish;CDI3;word;body;verbs;verbs;NA;NA;74
item_69;spocony;Polish;CDI3;word;body;adjectives;adjectives;NA;NA;69
item_44;kciuk;Polish;CDI3;word;body;nouns;nouns;NA;NA;44
item_46;kości;Polish;CDI3;word;body;nouns;nouns;NA;NA;46
item_77;pocić się;Polish;CDI3;word;body;verbs;verbs;NA;NA;77
item_50;mózg;Polish;CDI3;word;body;nouns;nouns;NA;NA;50
item_47;kręgosłup;Polish;CDI3;word;body;nouns;nouns;NA;NA;47
item_65;żebra;Polish;CDI3;word;body;nouns;nouns;NA;NA;65
item_59;szkielet;Polish;CDI3;word;body;nouns;nouns;NA;NA;59
item_63;wątroba;Polish;CDI3;word;body;nouns;nouns;NA;NA;63
item_91;piekarnik/piec;Polish;CDI3;word;kitchen;nouns;nouns;NA;NA;91
item_90;patelnia;Polish;CDI3;word;kitchen;nouns;nouns;NA;NA;90
item_123;wąchać;Polish;CDI3;word;kitchen;verbs;verbs;NA;NA;123
item_82;dynia;Polish;CDI3;word;kitchen;nouns;nouns;NA;NA;82
