text_type,text,item_type,category
yesNoBtn,Dodatkowe pytania,yesNo,wprost
header,Dodatkowe pytania,yesNo,wprost
choiceNames,"Tak, Nie",yesNo,wprost
instr,"Dziękujemy! Poniżej znajdą Państwo jeszcze listę pytań dotyczących tego, jak Państwa dziecko posługuje się językiem. Odpowiadając na nie, proszę pamiętać, że pytamy o rzeczy, które mogą pojawiać się w różnym wieku, a w dodatku dzieci rozwijają się w różnym tempie: proszę się nie martwić, jeśli na większość tych pytań odpowiedzą Państwo przecząco. Proszę się też nie przejmować, jeśli Państwa dziecko popełnia błędy. Np. jeśli mówi „w kubeku”, a my pytamy, czy używa form takich jak „w kubku”, proszę odpowiedzieć TAK! Podobnie, jeśli pytamy, czy Państwa dziecko dodaje „-bym” do czasowników, proszę odpowiedzieć twierdząco, jeśli Państwa dziecko mówi np. „chciałambym”.",yesNo,wprost
alternativesBtn,Przykłady wypowiedzi,alternatives,
header,Przykłady wypowiedzi,alternatives,
instr,"Poniżej znajdują się przykłady wypowiedzi, które dzieci mogą tworzyć w różnym wieku. Ułożyliśmy je parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. ""kubeku"" zamiast ""kubku"" lub ""dałambym"" zamiast ""dałabym""). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.",alternatives,grupa1
instr,"Poniżej znajdują się przykłady wypowiedzi, które dzieci mogą tworzyć w różnym wieku. Ułożyliśmy je parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. ""kubeku"" zamiast ""kubku"" lub ""dałambym"" zamiast ""dałabym""). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.",alternatives,grupa2
instr,"Poniżej znajdują się przykłady wypowiedzi, które dzieci mogą tworzyć w różnym wieku. Ułożyliśmy je parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. ""kubeku"" zamiast ""kubku"" lub ""dałambym"" zamiast ""dałabym""). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.",alternatives,grupa3
instr,"Poniżej znajdują się przykłady wypowiedzi, które dzieci mogą tworzyć w różnym wieku. Ułożyliśmy je parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. ""kubeku"" zamiast ""kubku"" lub ""dałambym"" zamiast ""dałabym""). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.",alternatives,grupa4
cdiNameSufix,Typowe wypowiedzi dzieci w wieku 3-4 lat,,
cdiNamePrefix,Jak mówi Twój trzylatek?,,
instr,Bardzo dziękujemy za wypełnienie kwestionariusza!,postEnd,
yesNoTooltip,Zakładka “Dodatkowe pytania” włączy się po wypełnieniu i zatwierdzeniu części “Przykłady wypowiedzi”,,
instr,Bardzo dziękujemy za wypełnienie kwestionariusza!,postEndSW,
