"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",-0.286592927087038,-0.282656086051622,-0.278335721263165,-0.000715694677551316,1.72297724048212e-09,1.00000000008818,1.99999999989816,2.56245929894301,5.00000000000436
"m_9",-0.213298459620767,-0.111720986920362,3.48219280385358e-09,0.621727003537625,0.716666667860907,1.60000000006076,3.79608419848685,5.00000000000313,7.62500000000902
"m_10",-0.0392555832674895,0.294176447659529,0.660927789733121,1.6614205620386,2.05000000073643,3.00000000003587,6.12941753034776,8.14584690035506,12.0000000000072
"m_11",0.235535701972389,0.93503621768434,1.70444763748973,3.11836498082316,4.00000000035373,5.2000000000144,8.9999999955696,11.9999999999991,18.1250000000017
"m_12",0.611075396098717,1.81085832315092,3.13055954675219,4.99256025988936,6.56666666672361,8.19999999999799,12.407831594304,16.5624592989359,25.9999999999961
"m_13",1.08736349911127,2.92164276405582,4.93926351752068,7.28400639923611,9.74999999986706,11.9999999999883,16.3529123269866,21.8533892661815,35.6249999999969
"m_14",1.66440001100956,4.26738954039514,7.13055954979524,9.99270339886336,13.5499999998179,16.5999999999855,21.2182442125335,29.0000000000011,47.006031131684
"m_15",2.34218493179262,5.84809865216436,9.70444764357596,13.1186512587718,17.9666666666137,21.9999999999911,27.6091221076965,38.7155369112737,60.5629842960173
"m_16",3.12071826145917,7.66377009935849,12.660927798863,16.6618499789622,23.0000000002818,28.200000000008,35.536374037179,51.0000000000016,76.5809616366141
"m_17",4.00000000000733,9.71440388197267,16.0000000156563,20.622299559435,28.6500000008374,35.2000000000381,45.0000000011757,65.8533892661855,95.0599668712751
"m_18",4.98003014743465,12.0000000000023,19.7216642939557,25.0000000001896,34.9166666682864,43.0000000000824,55.999999999773,83.2757047098254,116.000000000003
