"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",2.00000000000046,6.69891498490571,11.6296296301463,16.9999999999987,19.9999999989061,25.9999999999947,32.9999999999406,42.9999999988794,79.0000000000012
"m_9",5.83333333334082,12.245379834891,19.0000000000671,24.3541666666656,31.2399999991962,46.1999999999748,61.3650793651635,85.119999999204,124.750000000031
"m_10",11.0000000000146,20.0000000000099,29.1851851847708,35.499999999999,45.759999999446,68.1999999999699,90.0000000001997,124.679999999476,167.000000000051
"m_11",17.500000000021,29.9627754802622,42.1851851842452,50.4374999999989,63.5599999996554,91.9999999999797,118.904761905055,161.679999999699,205.750000000064
"m_12",25.333333333359,42.1337062756479,57.999999998485,69.1666666666653,84.6399999998244,117.600000000004,148.079365079731,196.119999999873,241.00000000007
"m_13",34.5000000000283,56.5127923861667,76.6296296274906,91.6874999999982,108.999999999953,145.000000000043,177.523809524224,227.999999999998,272.75000000007
"m_14",45.000000000028,73.1000338118187,98.0740740712639,117.999999999998,136.640000000042,174.200000000096,207.23809523853,257.320000000075,301.000000000064
"m_15",56.833333333357,91.8954305526035,122.333333329805,148.104166666664,167.56000000009,205.200000000162,237.222222222646,284.080000000102,325.750000000054
"m_16",70.0000000000164,112.898982608522,149.407407403113,181.999999999997,201.760000000099,238.000000000243,267.476190476575,308.280000000083,347.000000000042
"m_17",84.5000000000051,136.110689979574,179.296296291183,219.687499999998,239.24000000007,272.600000000339,298.000000000321,329.920000000018,364.750000000026
"m_18",100.333333333322,161.530552665759,211.999999994001,261.166666666666,280,309.000000000449,328.793650793892,348.999999999913,379.000000000008
