"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",-0.233969194725833,-0.232382479236463,-0.226147776080395,-0.134580061338998,9.71592469239252e-10,1.00000000000322,2.00000000016499,3.75023157016149,5.00000000002942
"m_9",-0.201772692656115,-0.16235176596392,9.40161553209667e-11,0.2436132922787,0.770833339248782,1.66666666667199,2.66369813081611,4.99999999999954,7.46268085824112
"m_10",-0.125319830354679,0.00397127293249747,0.537003825993976,1.05877442030815,1.99999999996924,3.00000000000546,4.23969609731959,7.2915508816658,11.5402893731552
"m_11",6.74819898718133e-11,0.360004067827398,1.38486370162559,2.3109033227491,3.68749998313437,5.00000000000383,6.72799389971243,10.6248842151619,17.2328255447776
"m_12",0.211215801922038,1.02500169504474,2.54357962699531,3.99999999960086,5.83333328875044,7.66666666666744,10.1285915380845,15.00000000049,24.5402893731185
"m_13",0.516823702862715,2.00000000019824,4.0131516021063,6.12606445086287,8.43749992033791,10.999999999997,14.4414890127142,20.4168982376533,33.4626808581892
"m_14",0.916823702891905,3.28499898328789,5.79357962696003,8.68909667653507,11.4999999115783,14.9999999999937,19.668911007467,26.8755789266565,44.0000000000011
"m_15",1.41121580200915,4.87999864431266,7.88486370155709,11.6890966766177,15.0208332714074,19.6666666666589,25.8344555040055,34.5173678482056,56.346598517643
"m_16",2.00000000021205,6.78499898327085,10.2870038258977,15.1260644511107,18.9999999998356,24.9999999999937,32.94481850187,44.9999999999832,72.7821995062286
"m_17",2.68317629749574,9.00000000016046,12.9999999999814,19.000000000014,23.4375000968651,30.9999999999987,41.0000000012108,58.8275440505751,94.0000000005502
"m_18",3.4607446938525,11.5250016949797,16.0238522238083,23.3109033233277,28.3333335624971,37.6666666666745,50.000000002066,75.9999999999848,120.000000000614
