"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",3.0000000002211,8.99999999999895,13.0000000000168,17.9999999999598,26.9999999999498,29.9999999998434,39.1524406920042,54.833333333325,91.0000000001152
"m_9",4.99999999993136,12.5500000000359,17.4999999999367,24.7499999999677,34.9999999998526,45.5333333329878,60.7174802306689,87.2999999999962,126.849999994925
"m_10",8.73333333312254,18.5500000000631,25.1999999998748,34.9999999999755,46.6666666664765,63.6999999995636,84.0000000000007,119.000000000001,161.133333324194
"m_11",14.1999999997717,27.0000000000806,36.0999999998309,48.7499999999829,61.9999999998185,84.4999999995695,109,149.933333333338,193.849999987935
"m_12",21.3999999998633,37.9000000000883,50.1999999998048,65.9999999999899,80.9999999998728,107.933333332996,135.717480230665,180.100000000009,224.999999986159
"m_13",30.3333333333848,51.2500000000861,67.4999999997963,86.7499999999959,103.666666666631,133.999999999819,164.152440691997,209.500000000012,254.583333318872
"m_14",41.000000000325,67.0500000000741,87.9999999998052,111.000000000001,130.000000000079,162.699999999976,194.048396499016,238.133333333348,282.599999986079
"m_15",53.400000000669,85.3000000000515,111.69999999983,138.750000000005,160.000000000199,194.03333333339,224.999999999998,266.000000000015,309.049999987784
"m_16",67.5333333343974,106.000000000018,138.599999999871,170.000000000006,193.666666666979,228.000000000023,257.000000000001,293.100000000013,333.933333323997
"m_17",83.4000000014865,129.149999999973,168.699999999928,204.750000000005,231.000000000413,264.599999999867,290.048396499022,319.433333333342,357.249999994732
"m_18",101.000000001909,154.749999999914,201.999999999997,243,272.000000000498,303.83333333292,324.145189497063,345,379.000000000009
