"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",-0.215396411091025,-0.213704884533065,-0.208751793388992,-0.0326474959930152,7.85275826569592e-11,1.00000000001706,1.19090629926865,3.00000000000246,5.00000000039496
"m_9",-0.170648426604312,-0.128455454246789,9.72831819441577e-12,0.313986669448434,0.533333333180727,1.42746342328436,2.18778225885596,3.85212004737726,6.05553499226827
"m_10",-0.0643911850912255,0.0739753235121705,0.495695839317537,0.991535835104796,1.54444444411864,2.44250543517606,3.82158986216708,5.8755391289482,8.56197718947424
"m_11",0.103375313448447,0.426008921315073,1.27833572453539,2.00000000097614,3.03333333289241,4.04512603569315,6.09232910921074,9.07196681669287,12.545559553317
"m_12",0.332651069015374,1.02720475802585,2.34791965566448,3.33937916706311,4.99999999950194,6.23532522483687,8.99999999999191,13.4466528411649,18.9999999937632
"m_13",0.62343608161001,1.88520178425398,3.70444763270544,5.00967333336691,7.44444444394678,9.0131030026087,12.5446025345118,19.0000000013962,28.4726642585122
"m_14",0.975730351232397,2.99999999999975,5.34791965565888,7.01088249988863,10.3666666662263,12.37845936901,16.7261367127699,25.7320082973915,40.9635523479366
"m_15",1.3895338778825,4.37159940526322,7.27833572452525,9.34300666662874,13.7666666663397,16.3313943240418,21.5446025347674,33.6426777291536,56.4726642621178
"m_16",1.86484666155996,6.00000000004418,9.49569583930456,12.0060458335868,17.6444444442863,20.8719078677051,27.0000000005099,42.7320082966849,75.0000000011634
"m_17",2.40166870226456,7.8852017843424,11.9999999999968,15.0000000007623,22.0000000000655,26.0000000000007,33.0923291100078,52.999999999988,96.5455595651307
"m_18",2.99999999999598,10.0272047581577,14.7912482066019,18.3248691681542,26.8333333336773,31.7156707209293,39.8215898632736,64.4466528390648,121.109342954044
