"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_8",4.00000000003893,9.99999999902833,13.0000000000001,18.9999999998425,29.7499999890603,34.6249999999944,42.0000000000015,64.0000000063432,105.999999999642
"m_9",5.33333333333067,11.99999999988,17.288888888888,23.7625000004846,35.9374999947372,45.0937499999962,59.9600000000012,83.7750000073117,130.624999999812
"m_10",8.33333333332685,16.6000000004021,24.5333333333323,32.2000000010317,45.9999999993996,58.9999999999979,80.040000000001,105.400000007746,155.866666666568
"m_11",13.0000000000183,23.8000000005939,34.7333333333328,44.3125000014747,59.9375000030467,76.3437499999996,102.240000000001,128.875000007706,181.724999999947
"m_12",19.3333333333948,33.600000000455,47.8888888888894,60.1000000018027,77.750000005676,97.1250000000011,126.560000000001,154.200000007223,208.199999999973
"m_13",27.3333333334448,45.9999999999846,64.0000000000014,79.562500002001,99.4375000072822,121.343750000002,153.000000000001,181.375000006298,235.291666666658
"m_14",37.0000000001552,60.9999999991822,83.0666666666686,102.70000000205,125.000000007857,149.000000000002,181.56,210.400000004907,263.000000000013
"m_15",48.3333333335079,78.5999999980478,105.088888888891,129.512500001923,154.437500007389,180.093750000002,212.24,241.275000003024,291.325000000044
"m_16",61.3333333334816,98.7999999965804,130.066666666669,160.000000001592,187.75000000587,214.625000000002,245.04,274.000000000632,320.266666666764
"m_17",76.0000000000618,121.599999994779,158.000000000003,194.162500001036,224.937500003293,252.593750000001,279.959999999999,308.574999997746,349.825000000189
"m_18",92.3333333332386,146.999999992644,188.888888888892,232.000000000245,265.999999999656,294,316.999999999999,344.999999994416,380.000000000351
