"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_18",11.9468482456411,20.3726827031733,31.4579715663468,47.2747943431702,63.0044717911142,73.7048711305043,87.2368410438468,130.691837195386,228.154638861841
"m_19",12.70679237519,21.999999999884,34.0843091522653,51.057722525076,68.0000000000196,94.4953124540089,126.771618599284,194.000000000004,293.075043268968
"m_20",14.3022990440999,25.416561163228,39.5983186303423,58.9999999998954,78.4729963397388,119.520046002711,167.359338251729,253.197587749237,352.681282451728
"m_21",16.7333682523707,30.6223661932065,48.0000000005779,71.1016267676286,94.4234608102716,148.77907177661,209.000000001181,308.284600443085,406.973356410119
"m_22",20.0000000000022,37.6174150898237,59.289353262972,87.3626028282755,115.851393411618,182.272389775707,251.69360384764,359.261038081548,455.951265144142
"m_23",24.102194286994,46.4017078530912,73.4663784175242,107.782928181836,142.756794143777,220.000000000001,295.440149791106,406.126900664625,499.615008653796
"m_24",29.0399511133461,57.0000000023059,90.5310754642347,132.362602828309,175.139663006748,261.961902449491,340.239637831577,448.882188192317,537.964586939082
"m_25",34.813270479059,69.5814883060787,110.483444403104,161.101626767695,213.00000000053,308.15809712418,386.0446321868,487.526900664624,571.000000000001
"m_26",41.4221523841329,84.1842712004578,133.323485234131,193.999999999994,256.33780512512,356.999999999998,430.064213471227,522.061038081547,598.721247836552
"m_27",48.8665968285677,100.808348685482,159.051197957316,231.057722525203,305.000000001061,402.542969143058,470.056220969825,552.484600443083,621.128330448735
"m_28",57.1466038123634,119.453720761168,187.666582572659,272.274167307808,354.602778635445,444.076389587661,506.012504416285,578.797587749235,638.22124783655
"m_29",66.262173335519,140.120387427524,219.169639080157,316.254983359604,400.557099241861,481.600261333805,537.933063810606,601.000000000001,649.999999999998
"m_30",76.2133053980348,162.808348684552,253.560367479812,359.163917874014,442.689506363353,515.114584381491,565.817899152786,619.091837195382,656.488661548887
"m_31",86.9999999999111,187.517604532256,290.838767771622,400.424398818879,480.999999999916,544.619358730719,589.667010442825,633.073099335379,659.999999987364
"m_32",98.6222571411478,214.248154970632,331.004839955588,440.036426194198,515.488580151547,570.11458438149,609.480397680724,643.000000000001,662.879894404583
"m_33",111.080076821745,242.99999999968,374.05858403171,477.99999999997,546.155246818247,591.600261333802,625.258060866484,650.288765344332,665.173192545761
"m_34",124.373459041705,273.773139619396,419.999999999987,514.315120236197,573.000000000016,609.076389587658,637.000000000105,655.713086506025,666.8798944109
"m_35",138.502403801025,306.567573829773,468.829087860419,548.981786902877,596.022839696854,622.542969143057,644.706215081589,659.273059442354,667.999999999998
"m_36",153.466911099707,341.383302630804,520.545847613007,582.00000000001,615.22376590876,632,648.376706110935,660.968684153321,668.533509313056
