org_item_id;definition;type;category;gram_label;gram_category;lexical_category;lexical_class;uni_lemma;origin;item_id
item_2;W jakim województwie mieszkasz?;demographic_additional;demographic_voivodeship;;;;;;demo_add;item_001d
item_3;Jaka jest wielkość miejscowości, w której mieszkasz?;demographic_additional;demographic_residencesize;;;;;;demo_add;item_002d
item_1;Jaki jest Twój poziom wyształcenia?;demographic_additional;demographic_education;;;;;;demo_add;item_003d
item_1;gę gę;word;sounds;;;other;other;quack quack;WS;item_001
item_2;hau hau;word;sounds;;;other;other;woof woof;WS;item_002
item_3;ko ko ko;word;sounds;;;other;other;cluck cluck;WS;item_003
item_4;kwa kwa;word;sounds;;;other;other;quack quack;WS;item_004
item_5;miau;word;sounds;;;other;other;meow;WS;item_005
item_6;mee/bee;word;sounds;;;other;other;baa baa;WS;item_006
item_7;muu [krowa];word;sounds;;;other;other;moo;WS;item_007
item_8;pi pi pi/ćwir ćwir;word;sounds;;;other;other;tweet tweet;WS;item_008
item_9;bam/bum/bęc;word;sounds;;;other;other;boom;WS;item_009
item_10;brrum brrum [auto];word;sounds;;;other;other;vroom;WS;item_010
item_11;tik tak;word;sounds;;;other;other;tick-tock;WS;item_011
item_12;tralala/lalala;word;sounds;;;other;other;;WS;item_012
item_13;baran;word;animals;;;nouns;nouns;ram;WS;item_013
item_14;biedronka;word;animals;;;nouns;nouns;ladybug;WS;item_014
item_15;bocian;word;animals;;;nouns;nouns;stork;WS;item_015
item_16;foka;word;animals;;;nouns;nouns;seal;WS;item_016
item_17;gęś;word;animals;;;nouns;nouns;goose;WS;item_017
item_18;gołąb;word;animals;;;nouns;nouns;pigeon;WS;item_018
item_19;jeż;word;animals;;;nouns;nouns;hedgehog;WS;item_019
item_20;kaczka;word;animals;;;nouns;nouns;duck;WS;item_020
item_21;kogut;word;animals;;;nouns;nouns;rooster;WS;item_021
item_22;koń;word;animals;;;nouns;nouns;horse;WS;item_022
item_23;kot;word;animals;;;nouns;nouns;cat;WS;item_023
item_24;koza;word;animals;;;nouns;nouns;goat;WS;item_024
item_25;krowa;word;animals;;;nouns;nouns;cow;WS;item_025
item_26;królik;word;animals;;;nouns;nouns;rabbit;WS;item_026
item_27;kura;word;animals;;;nouns;nouns;hen;WS;item_027
item_28;kurczątko;word;animals;;;nouns;nouns;chick;WS;item_028
item_29;lew;word;animals;;;nouns;nouns;lion;WS;item_029
item_30;lis;word;animals;;;nouns;nouns;fox;WS;item_030
item_31;małpa;word;animals;;;nouns;nouns;monkey;WS;item_031
item_32;miś/niedźwiedź;word;animals;;;nouns;nouns;bear/teddybear;WS;item_032
item_33;motylek;word;animals;;;nouns;nouns;butterfly;WS;item_033
item_34;mrówka;word;animals;;;nouns;nouns;ant;WS;item_034
item_35;mucha;word;animals;;;nouns;nouns;housefly;WS;item_035
item_36;myszka;word;animals;;;nouns;nouns;mouse;WS;item_036
item_37;pająk;word;animals;;;nouns;nouns;spider;WS;item_037
item_38;pies;word;animals;;;nouns;nouns;dog;WS;item_038
item_39;pingwin;word;animals;;;nouns;nouns;penguin;WS;item_039
item_40;ptaszek;word;animals;;;nouns;nouns;bird;WS;item_040
item_41;robak;word;animals;;;nouns;nouns;bug;WS;item_041
item_42;ryba;word;animals;;;nouns;nouns;fish (animal);WS;item_042
item_43;słoń;word;animals;;;nouns;nouns;elephant;WS;item_043
item_44;sowa;word;animals;;;nouns;nouns;owl;WS;item_044
item_45;ślimak;word;animals;;;nouns;nouns;snail;WS;item_045
item_46;świnka;word;animals;;;nouns;nouns;pig;WS;item_046
item_47;tygrys;word;animals;;;nouns;nouns;tiger;WS;item_047
item_48;wąż;word;animals;;;nouns;nouns;snake;WS;item_048
item_49;wiewiórka;word;animals;;;nouns;nouns;squirrel;WS;item_049
