text_type;text;item_type;category
cdiNamePrefix;„Od słowa do zdania”;;
cdiNameSufix;Jak mówi Twoje dziecko;;
longText;"<p>Kwestionariusz, który wypełniasz, służy do badania rozwoju mowy małych dzieci. Używamy go wierząc, że to Ty znasz najlepiej swoje dziecko i jego rozwój. Odpowiadając na pytania, nie przepytuj dziecka, nie proś go o powtarzanie poszczególnych wyrazów, ani nie ucz „nowych słówek”. Zaufaj swojej intuicji, a w razie potrzeby poobserwuj dziecko trochę.</p><p>Odpowiedz na poniższe trzy pytania i kliknij przycisk „Zatwierdź”. Jeśli uważasz, że jest coś jeszcze, co powinniśmy wiedzieć o Twoim dziecku (np. problemy zdrowotne, kontakt z innymi językami), możesz użyć pola na uwagi, żeby nam o tym powiedzieć.</p>";start;
warning;Możesz wrócić do wypełniania później, nie tracąc dotychczasowych odpowiedzi: skorzystaj z tego samego linku. Żeby zakończyć wypełnianie, musisz zatwierdzić każdą sekcję.;start;
help;Pamiętaj, że po zatwierdzeniu odpowiedzi nie będzie już można wrócić na tę stronę.;start;
noGender;Wskaż płeć dziecka.;;
noFiller;Odpowiedz, kim jesteś dla dziecka.;;
fillerLabel;Kim jesteś dla dziecka?;;
fillers;mama,tata,inna odpowiedź (proszę wpisać):;;
badDate;Podana data urodzenia wskazuje, że Twoje dziecko nie jest w wieku, dla którego przeznaczony jest ten kwestionariusz.;;
menuButton;Słowa;word;
tooltip;Ta zakładka staje się dostępna po zatwierdzeniu odpowiedzi na pytania wstępne.;word;
header;Lista słów;word;
longText;"<p>Na kolejnych stronach przedstawiamy listę typowych słów znanych małym dzieciom. Przeczytaj ją uważnie i zaznacz słowa, których używa Twoje dziecko.</p><p> <strong>Zaznacz słowo</strong>, jeśli Twoje dziecko <strong>wypowiada je samo z siebie</strong>, spontanicznie (pamiętaj, że dzieci rozumieją więcej słów, niż same wypowiadają; nie chodzi nam też o słowa, które Twoje dziecko jest w stanie powtórzyć).</p><p>Zaznacz słowo również, gdy:<strong><br /></strong></p><ul><li> dziecko używa go w innej formie, np. „piesek” zamiast „pies”,</li><li>wymawia je nieco inaczej, np. „lybka” zamiast „rybka” lub „wiójka” zamiast „wiewiórka”,</li><li>używa własnego określenia, np. „dzi” zamiast „piłka”,</li><li>w Waszej rodzinie używa się innego określenia niż to podane w kwestionariuszu.</li></ul><p><strong><br />Uwagi<br /></strong></p>W polu „Uwagi”, które znajduje się na dole każdej strony, możesz dopisać inne formy lub własne określenia używane przez dziecko lub rodzinę.<strong><br /></strong></p>";word;firstPage
