item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category ;num_item_id
item_1;gę gę;word;sounds;other;other;quack quack;;1
item_2;hau hau;word;sounds;other;other;woof woof;;2
item_3;ko ko ko;word;sounds;other;other;cluck cluck ;;3
item_4;kwa kwa;word;sounds;other;other;quack quack;;4
item_5;miau;word;sounds;other;other;meow;;5
item_6;mee/bee;word;sounds;other;other;baa baa;;6
item_7;muu [krowa];word;sounds;other;other;moo;;7
item_8;pi pi pi/ćwir ćwir;word;sounds;other;other;tweet tweet;;8
item_9;bam/bum/bęc;word;sounds;other;other;boom;;9
item_10;brrum brrum [auto];word;sounds;other;other;vroom;;10
item_11;tik tak;word;sounds;other;other;tick-tock;;11
item_12;tralala/lalala;word;sounds;other;other;;;12
item_13;baran;word;animals;nouns;nouns;ram;;13
item_14;biedronka;word;animals;nouns;nouns;ladybug;;14
item_15;bocian;word;animals;nouns;nouns;stork;;15
item_16;foka;word;animals;nouns;nouns;seal;;16
item_17;gęś;word;animals;nouns;nouns;goose;;17
item_18;gołąb;word;animals;nouns;nouns;pigeon;;18
item_19;jeż;word;animals;nouns;nouns;hedgehog;;19
item_20;kaczka;word;animals;nouns;nouns;duck;;20
item_21;kogut;word;animals;nouns;nouns;rooster;;21
item_22;koń;word;animals;nouns;nouns;horse;;22
item_23;kot;word;animals;nouns;nouns;cat;;23
item_24;koza;word;animals;nouns;nouns;goat;;24
item_25;krowa;word;animals;nouns;nouns;cow;;25
item_26;królik;word;animals;nouns;nouns;rabbit;;26
item_27;kura;word;animals;nouns;nouns;hen;;27
item_28;kurczątko;word;animals;nouns;nouns;chick;;28
item_29;lew;word;animals;nouns;nouns;lion;;29
item_30;lis;word;animals;nouns;nouns;fox;;30
item_31;małpa;word;animals;nouns;nouns;monkey;;31
item_32;miś/niedźwiedź;word;animals;nouns;nouns;bear/teddybear;;32
item_33;motylek;word;animals;nouns;nouns;butterfly;;33
item_34;mrówka;word;animals;nouns;nouns;ant;;34
item_35;mucha;word;animals;nouns;nouns;housefly;;35
item_36;myszka;word;animals;nouns;nouns;mouse;;36
item_37;pająk;word;animals;nouns;nouns;spider;;37
item_38;pies;word;animals;nouns;nouns;dog;;38
item_39;pingwin;word;animals;nouns;nouns;penguin;;39
item_40;ptaszek;word;animals;nouns;nouns;bird;;40
item_41;robak;word;animals;nouns;nouns;bug;;41
item_42;ryba;word;animals;nouns;nouns;fish (animal);;42
item_43;słoń;word;animals;nouns;nouns;elephant;;43
item_44;sowa;word;animals;nouns;nouns;owl;;44
item_45;ślimak;word;animals;nouns;nouns;snail;;45
item_46;świnka;word;animals;nouns;nouns;pig;;46
item_47;tygrys;word;animals;nouns;nouns;tiger;;47
item_48;wąż;word;animals;nouns;nouns;snake;;48
item_49;wiewiórka;word;animals;nouns;nouns;squirrel;;49
item_50;wilk;word;animals;nouns;nouns;wolf;;50
item_51;zając;word;animals;nouns;nouns;hare;;51
item_52;zwierzątko;word;animals;nouns;nouns;animal/pet;;52
