"","p_0.1","p_0.2","p_0.3","p_0.4","p_0.5","p_0.6","p_0.7","p_0.8","p_0.9"
"m_18",16.8116228571809,25.3427735657658,35.1716264384769,49.2540290977336,64.9999999999998,81.4993798624353,100.784185627712,154.000000000556,299.088345047121
"m_19",17.8402957948838,27.6345589200909,38.9878399021712,54.0115532323951,74.3999999994385,113.666430859143,159.000000000028,219.256410256688,360.000000000001
"m_20",19.9999999999894,32.4461742406857,46.9999999999428,63.9999999999995,89.9999999990638,148.039732482549,214.019215389357,279.893162393204,415.207769968588
"m_21",23.2907354724976,39.7776195275495,59.2081067317919,79.2193694005468,111.799999998876,184.619284732652,265.841831795698,335.910256410106,464.711654952881
"m_22",27.7125022124083,49.628894780682,75.6121600977181,99.669661434037,139.799999998875,223.405087609452,314.467849219053,387.307692307397,508.511654952881
"m_23",33.2653002197216,62.0000000000824,96.2121600977213,125.35087610047,173.99999999906,264.397141112948,359.89726765942,434.085470085077,546.607769968587
"m_24",39.9491294944373,76.8909351857498,121.008106731801,156.263013399845,214.399999999432,307.595445243139,402.130087116799,476.243589743148,579.000000000001
"m_25",47.7639900365556,94.3017003376831,149.999999999958,192.406073332164,260.999999999991,353.000000000017,441.166307591192,513.78205128161,605.688345047121
"m_26",56.7098818460766,114.23229545588,183.18783990219,233.780055897426,313.584514034503,399.356930997763,476.989025458554,546.700854700466,626.672805109949
"m_27",66.7868049230004,136.682720540337,220.429160571234,280.255966259447,365.410984146688,441.974113589087,509.534985649714,574.999999999716,641.953380188484
"m_28",77.994759267327,161.652975591052,259.049096223187,328.000000000003,412.364285478033,480.290657137948,538.796626733841,598.679487179364,651.530171156691
"m_29",90.3337448790564,189.143060608022,297.807682390737,372.843749999998,454.442200667061,514.306561644343,564.773948710933,617.739316239412,655.999999999999
"m_30",103.803761758188,219.152975591246,336.704919073875,414.624999999995,491.644729713771,544.021827108271,587.46695158099,632.179487179869,659.096221611163
"m_31",118.404809904723,251.68272054072,375.7408062726,453.343749999992,523.971872618164,569.436453529731,606.875635344012,642.000000000751,661.744332416744
"m_32",134.136889318659,286.732295456443,414.91534398691,488.999999999991,551.423629380241,590.550440908722,622.999999999999,647.923440169782,663.944332416744
"m_33",150.999999999998,324.301700338413,454.228532216805,521.593749999991,574,607.363789245247,635.840045548952,652.41647123607,665.696221611163
"m_34",168.994141948738,364.390935186627,493.680370962285,551.124999999992,591.700984477442,619.876498539304,645.395771990869,655.760239576634,667
"m_35",188.11931516488,407.000000001084,533.270860223349,577.593749999995,604.526582812568,628.088568790895,651.667179325752,657.954749164635,667.855667583256
"m_36",208.375519648424,452.128894781782,572.999999999997,601,612.476795005376,632.000000000022,654.654267553601,659.000000000084,668.263224360932
