"a1","d","item","question","group","id"
1.91021811499989,-1.00879448302451,"au (lev)","CATEGORY LABEL here","comp","item_38"
2.49432337909667,0.074213402765001,"bé (ovca)","CATEGORY LABEL here","comp","item_39"
2.13438376745355,2.04748564379413,"Brm / tú; tí (auto)","CATEGORY LABEL here","comp","item_40"
2.67801360281226,0.253646895446125,"brum (medved')","CATEGORY LABEL here","comp","item_41"
1.34060151211362,0.0650168787451506,"čl'up","CATEGORY LABEL here","comp","item_42"
2.10586705769362,-1.33859056210237,"Dzdz (včela)","CATEGORY LABEL here","comp","item_43"
2.35806863107478,-0.485927761916656,"gá (hus)","CATEGORY LABEL here","comp","item_44"
2.3736840227216,3.37867747869663,"hav (pes)","CATEGORY LABEL here","comp","item_45"
1.86692036866355,-1.29465121625332,"hú (sova)","CATEGORY LABEL here","comp","item_46"
2.35552259340507,0.0832439284083054,"Kiki / kikirikí; ií (kohút)","CATEGORY LABEL here","comp","item_47"
1.87474302983089,1.30829163379179,"klopkanie jazykom (koník)","CATEGORY LABEL here","comp","item_48"
2.83044515814503,-0.0511205388375779,"Mé (koza)","CATEGORY LABEL here","comp","item_49"
1.60412244596376,2.15328715399789,"Mňam","CATEGORY LABEL here","comp","item_50"
2.60568540696742,1.49113724696456,"mňau (mačka)","CATEGORY LABEL here","comp","item_51"
2.63390320928737,0.56555451302546,"mú (krava)","CATEGORY LABEL here","comp","item_52"
2.74195347815886,0.148909463514203,"Pip / pipi (sliepka)","CATEGORY LABEL here","comp","item_53"
2.66180304589409,-2.032973684213,"sss (had)","CATEGORY LABEL here","comp","item_54"
2.26066380074667,0.232056265448829,"šiši / ššš (vlak)","CATEGORY LABEL here","comp","item_55"
1.90735940900435,0.472231954538394,"tik-tak (hodiny)","CATEGORY LABEL here","comp","item_56"
1.98711695938533,-0.331058760752226,"vú (vysávač)","CATEGORY LABEL here","comp","item_57"
2.0618823025229,-1.35217031975821,"žž / zz (lietadlo)","CATEGORY LABEL here","comp","item_58"
2.23444021323048,-3.98133111879169,"bobrík","CATEGORY LABEL here","comp","item_59"
2.70818152571845,-2.21695972810616,"had","CATEGORY LABEL here","comp","item_60"
2.45360647376251,-1.7209909195682,"holub","CATEGORY LABEL here","comp","item_61"
2.64849122415086,-0.856149395752362,"hus","CATEGORY LABEL here","comp","item_62"
2.98916212660769,-2.06794452851828,"chrobáčik/mravček","CATEGORY LABEL here","comp","item_63"
2.99582560518908,-3.74047514546192,"jeleň","CATEGORY LABEL here","comp","item_64"
2.58362914540033,0.528143811097318,"kačka","CATEGORY LABEL here","comp","item_65"
2.97793600418521,-0.27505207171718,"kohút","CATEGORY LABEL here","comp","item_66"
3.34692090094533,1.1099671194905,"koník","CATEGORY LABEL here","comp","item_67"
2.09641176918258,-2.3821866699335,"korytnačka","CATEGORY LABEL here","comp","item_68"
3.22593906441207,-0.58866409253046,"koza","CATEGORY LABEL here","comp","item_69"
2.82998890977312,0.441318148500857,"krava","CATEGORY LABEL here","comp","item_70"
2.35783960431248,-3.08517025235143,"krokodíl","CATEGORY LABEL here","comp","item_71"
1.91594528528289,-1.96162246409551,"krtko","CATEGORY LABEL here","comp","item_72"
2.22540716643574,-2.63008507225579,"kukučka","CATEGORY LABEL here","comp","item_73"
3.06092593578971,0.146856516394604,"kuriatko/sliepka","CATEGORY LABEL here","comp","item_74"
2.6553021965119,-3.5472408602257,"labuť","CATEGORY LABEL here","comp","item_75"
2.38410785288183,-1.46205154525828,"lev","CATEGORY LABEL here","comp","item_76"
2.37108387098126,-2.21600588720023,"lienka","CATEGORY LABEL here","comp","item_77"
2.7731033568964,1.44894829734966,"mačka","CATEGORY LABEL here","comp","item_78"
2.58222451862989,0.837634201141531,"medveď/maco","CATEGORY LABEL here","comp","item_79"
1.34246024838859,-0.553206636806684,"meno domáceho zvieratka","CATEGORY LABEL here","comp","item_80"
2.21545948013216,-1.96319696974823,"motýľ","CATEGORY LABEL here","comp","item_81"
2.34298533488718,-1.63551802077608,"mucha","CATEGORY LABEL here","comp","item_82"
2.42809349331905,-1.22808714289301,"myška","CATEGORY LABEL here","comp","item_83"
2.11072156597453,-1.04600877156877,"opica","CATEGORY LABEL here","comp","item_84"
2.69849556500013,-0.259757542639159,"ovečka","CATEGORY LABEL here","comp","item_85"
2.6342759210228,-2.71333647128391,"papagáj","CATEGORY LABEL here","comp","item_86"
2.82199766230675,3.29241289648938,"pes/havo","CATEGORY LABEL here","comp","item_87"
2.54600090366851,-0.0367911955854635,"prasa","CATEGORY LABEL here","comp","item_88"
2.69809447820741,-0.204918284995834,"ryba","CATEGORY LABEL here","comp","item_89"
2.23970233485266,-1.25454602334594,"slon","CATEGORY LABEL here","comp","item_90"
2.0625010950602,-1.7660319741454,"sova","CATEGORY LABEL here","comp","item_91"
2.11386287352988,-1.57697288656344,"tiger","CATEGORY LABEL here","comp","item_92"
2.98251306553139,-4.3923217482921,"tuleň","CATEGORY LABEL here","comp","item_93"
2.43650661392116,-1.5970504659882,"včela","CATEGORY LABEL here","comp","item_94"
2.89343223396506,-3.11245391381842,"vlk","CATEGORY LABEL here","comp","item_95"
2.56095766374549,-2.98009215438793,"vrana","CATEGORY LABEL here","comp","item_96"
3.54499050906775,0.572591692057383,"vtáčik","CATEGORY LABEL here","comp","item_97"
3.14088116890715,-0.127440083644179,"zajac","CATEGORY LABEL here","comp","item_98"
2.498044029533,-0.274217241896314,"žaba","CATEGORY LABEL here","comp","item_99"
1.8590150757897,-1.84808968268038,"žirafa","CATEGORY LABEL here","comp","item_100"
2.75231500449809,-0.828850592836948,"autobus","CATEGORY LABEL here","comp","item_102"
2.93122147863053,-1.34072815615441,"bicykel","CATEGORY LABEL here","comp","item_103"
2.05356170133428,-1.13574894315941,"lietadlo","CATEGORY LABEL here","comp","item_104"
2.40673910727001,-1.24186972291314,"motorka","CATEGORY LABEL here","comp","item_105"
2.18363695035213,-1.20273367890026,"traktor","CATEGORY LABEL here","comp","item_106"
2.4346797944053,-2.08060446046847,"trojkolka","CATEGORY LABEL here","comp","item_107"
2.49965929499611,-0.211687044924299,"vlak","CATEGORY LABEL here","comp","item_108"
1.76224009783412,0.698114334079337,"bábika","CATEGORY LABEL here","comp","item_109"
2.31930260921953,-0.00632167357811938,"balón","CATEGORY LABEL here","comp","item_110"
2.46251645379329,-1.60846727712222,"bublina/bublifuk","CATEGORY LABEL here","comp","item_111"
1.91442039311916,-0.831229192321469,"bubon","CATEGORY LABEL here","comp","item_112"
2.68687076631911,-3.44260781111648,"dráčik","CATEGORY LABEL here","comp","item_113"
2.14861357888481,-0.589192994226313,"guľka","CATEGORY LABEL here","comp","item_114"
2.21701052707616,0.652768439388484,"kocka","CATEGORY LABEL here","comp","item_115"
2.27233591503288,2.61035319753069,"lopta / gól","CATEGORY LABEL here","comp","item_116"
2.0040401898848,-1.14787941050726,"panák / figúrka","CATEGORY LABEL here","comp","item_117"
2.33635629823211,-0.722704067456347,"vedierko / kýblik","CATEGORY LABEL here","comp","item_118"
2.48350910504192,-2.10711511238424,"formička","CATEGORY LABEL here","comp","item_119"
3.3283779912017,1.32256462810151,"banán","CATEGORY LABEL here","comp","item_120"
2.34238962345376,1.54249103584646,"čaj","CATEGORY LABEL here","comp","item_121"
2.22730568868679,-1.46263847436489,"čokoláda","CATEGORY LABEL here","comp","item_122"
2.29355910143621,-1.65869461810159,"džús","CATEGORY LABEL here","comp","item_123"
