"age","gender","theta","group"
8,"boy",-1.01904386042429,"comp"
9,"boy",-0.952955868321362,"comp"
10,"boy",-0.729932875459577,"comp"
11,"boy",-0.0307666930362609,"comp"
12,"boy",0.192585651062968,"comp"
13,"boy",0.31818686731756,"comp"
14,"boy",0.520313449125976,"comp"
15,"boy",0.535027927695643,"comp"
16,"boy",0.722131992531585,"comp"
8,"girl",-1.14184862721282,"comp"
9,"girl",-0.575512006185562,"comp"
10,"girl",-0.447765571005049,"comp"
11,"girl",-0.204253734438334,"comp"
12,"girl",0.093784805752894,"comp"
13,"girl",0.367650090302304,"comp"
14,"girl",0.481014585181108,"comp"
15,"girl",0.782808367265827,"comp"
16,"girl",0.809470878055704,"comp"
