text_type;text;item_type;category
cdiNamePrefix;Як говорить ваша трьохрічна дитина?;;
cdiNameSufix;Пілотажне дослідження мови дітей 3-4 років;;
header;Список слів, які використовує дитина;word;
menuButton;Слова;word;
longText;Діти розуміють набагато більше слів, ніж вони вживають в мовленні. Ця анкета охоплює лише слова, які ваша дитина вимовляє спонтанно. Йдеться не про те, що дитина може повторити, а про слова, які вона вживає самостійно. Будь ласка, уважно прочитайте список слів і позначте слова, які ви чули від вашої дитини. Якщо ваша дитина використовує дещо іншу форму, наприклад, говорить «голівка», а не «голова», все одно позначте слово «голова». Так само слід вчинити, якщо дитина вимовляє слово інакше (наприклад, «облазений», а не «ображений»). Будь ласка, також позначте таке слово, ви теж можете вписати слово, яке дитина вживає, у поле для коментарів. Подібним чином, якщо в сім’ї використовується інший термін, ніж той, який наведено в анкеті, позначте відповідний пункт і додайте відповідний варіант слова у полі для коментарів. Ви також можете використовувати це поле, щоб поділитися з нами будь-якими іншими коментарями.;word;firstPage
warning;ПРИМІТКА: Ця анкета містить лише зразок слів, які може використовувати ваша дитина. Ваша дитина мабуть знає багато інших слів, яких немає в цьому списку.Можливо, ваша дитина не знає усіх слів у списку. Будь ласка, не переживайте з цього приводу, тому, що в цьому дослідженні ми лише хочемо визначити, які слова у дитини варто запитувати, і в якому віці.;word;firstPage
catHeader;Тіло / Організм (1/3);word;body1
note;item_40% або інший термін, який використовується у вашій сім'ї ;word;body1
catHeader;Тіло / Організм (2/3);word;body2
catHeader;Тіло / Організм (3/3);word;body3
catHeader;Кухня (1/3);word;kitchen1
catHeader;Кухня (2/3);word;kitchen2
catHeader;Кухня (3/3);word;kitchen3
catHeader;Розум (1/3);word;mental1
catHeader;Розум (2/3);word;mental2
catHeader;Розум (3/3);word;mental3
catHeader;Емоції (1/3);word;emotion1
catHeader;Емоції (2/3);word;emotion2
catHeader;Емоції (3/3);word;emotion3
catHeader;Світ дитини (1/3);word;child_world1
catHeader;Світ дитини (2/3);word;child_world2
catHeader;Світ дитини (3/3);word;child_world3
menuButton;Приклади висловлювань;alternatives;
header;Приклади висловлювань;alternatives;
longText;Наступні сторінки містять приклади тверджень, які діти можуть створювати у різному віці. У прикладах, які ми тут зібрали, ми не запитуємо про конкретні слова (наприклад, ваша дитина може знати назви фруктів або страв, відмінних від запропонованих нами). Нас також не цікавлять помилки, які може зробити ваша дитина, використовуючи вирази, приклади яких тут наведені. Будь ласка, не хвилюйтеся, якщо ваша дитина скаже, наприклад, «Я би хотіла би» замість «Я б хотіла». Такі помилки є цілком природними в мовленні дітей і свідчать про його розвиток.;alternatives;firstPage
warning;Будь ласка, не хвилюйтеся, коли відповідаючи на наші запитання ви вважаєте, що ваша дитина погано виглядає вживаючи слова у мовленні. Тут ми запитуємо про речі, які з’являються в мовленні дітей різного віку, і насправді хочемо лише визначити, про що дитини варто запитувати, і в якому віці.;alternatives;firstPage
instr;Наступні приклади висловлювань ми розмістили парами: у кожній парі одна версія є менш складнішою, а інша більш складнішою. Будь ласка, виберіть варіант, який нагадує те, що говорить ваша дитина. Нам не йдеться про саме те формулювання, яке ми використовували в прикладах. Слова, які використовує ваша дитина, можуть відрізнятися (вони також можуть містити помилки, наприклад, «я би хотіла би» замість «я б хотіла»). Якщо обидві версії схожі на твердження вашої дитини, ви можете вибрати обидва варіанти, а якщо ваша дитина ще не створює таких висловлювань, не вибирайте жодного з варантів.;alternatives;grupa1
instr;Наступні приклади висловлювань ми розмістили парами: у кожній парі одна версія є менш складнішою, а інша більш складнішою. Будь ласка, виберіть варіант, який нагадує те, що говорить ваша дитина. Нам не йдеться про саме те формулювання, яке ми використовували в прикладах. Слова, які використовує ваша дитина, можуть відрізнятися (вони також можуть містити помилки, наприклад, «я би хотіла би» замість «я б хотіла»). Якщо обидві версії схожі на твердження вашої дитини, ви можете вибрати обидва варіанти, а якщо ваша дитина ще не створює таких висловлювань, не вибирайте жодного з варантів.;alternatives;grupa2
instr;Наступні приклади висловлювань ми розмістили парами: у кожній парі одна версія є менш складнішою, а інша більш складнішою. Будь ласка, виберіть варіант, який нагадує те, що говорить ваша дитина. Нам не йдеться про саме те формулювання, яке ми використовували в прикладах. Слова, які використовує ваша дитина, можуть відрізнятися (вони також можуть містити помилки, наприклад, «я би хотіла би» замість «я б хотіла»). Якщо обидві версії схожі на твердження вашої дитини, ви можете вибрати обидва варіанти, а якщо ваша дитина ще не створює таких висловлювань, не вибирайте жодного з варантів.;alternatives;grupa3
menuButton;Додаткові запитання;yesNo;wprost
header;Додаткові запитання;yesNo;wprost
choiceNames;Так, Ні;yesNo;wprost
instr;"Нижче ви знайдете список запитань стосовного того, як ваша дитина використовує мову. Відповідаючи на ці запитання, пам’ятайте, що ми запитуємо про речі, які можуть з’явитися в різному віці, слід зауважити, що діти розвиваються з різною швидкістю: не хвилюйтеся, якщо на більшість із цих запитань ваша відповідь буде негативною. Крім того, не хвилюйтеся, якщо ваша дитина робить помилки. Наприклад, якщо ми запитуємо, чи додає ваша дитина ""б\би"" до дієслів, будь ласка, дайте відповідь позитивну, якщо ваша дитина каже, наприклад, ""Я би хотіла би"".";yesNo;wprost
instr;Якщо ви заповнили всі частини анкети, натисніть іконку «Затвердити».;end;
endMsgText;Дякуємо за заповнення анкети! Сподіваємося, час роздумів про мовний розвиток вашої дитини був для Вас цінним! Ваша участь у дослідженні дуже важлива - це допоможе нам детально описати мовний розвиток дітей.;end;
redirectionText;;
redirectionBtn;;
