text_type;text;item_type;category
backBtn;Повернутися;;
nextBtn;Далі;;
confBtn;Затвердити;;
menuButton;Почати;start;
modalTitle;Зауваження!;;
commentLabel;Коментарі;;
tooltip;Кінець анкети можливе після затвердження всіх частин.;end;
header;Висновок;end;
menuButton;Висновок;end;
endMsgTitle;Дякуємо за заповнення!;end;
error;Зв'язок перервано. Будь ласка, оновіть і спробуйте ще раз. Якщо це повториться, будь ласка, зробіть скріншот цього екрану та надішліть його на електронну пошту o.belyavska@uw.edu.pl.;;
refresh;Оновити;;
inventoryOpened;Наразі анкета відкрита. Будь ласка, закрийте анкету, якщо вона відкрита в іншому місці, та/або оновіть сторінку.;;
