item_id	definition	type	category	lexical_category	lexical_class	uni_lemma	complexity_category	num_item_id
item_1	Reagerer når han/hun hører navnet sitt (ved f.eks. å snu seg mot den som snakker)	understanding	first_signs	NA	NA	NA		1
item_2	"Reagerer på at noen sier ""nei, nei"" (ved å stoppe aktiviteten – i alle fall et øyeblikk)"	understanding	first_signs	NA	NA	NA		2
item_3	"Reagerer når noen sier ""der er pappa/mamma"" ved å se etter ham/henne."	understanding	first_signs	NA	NA	NA		3
item_4	Er du sulten?	understanding	phrases	NA	NA	NA		4
item_5	Er du trøtt?	understanding	phrases	NA	NA	NA		5
item_6	Det var flink jente/gutt	understanding	phrases	NA	NA	NA		6
item_7	Gap opp	understanding	phrases	NA	NA	NA		7
item_8	Gi meg en klem	understanding	phrases	NA	NA	NA		8
item_9	Gi meg et kyss	understanding	phrases	NA	NA	NA		9
item_10	Gå og hent ________	understanding	phrases	NA	NA	NA		10
item_11	Ikke gjør det	understanding	phrases	NA	NA	NA		11
item_12	Ikke rør	understanding	phrases	NA	NA	NA		12
item_13	Kast ballen	understanding	phrases	NA	NA	NA		13
item_14	Klapp med hendene dine	understanding	phrases	NA	NA	NA		14
item_15	Kom hit	understanding	phrases	NA	NA	NA		15
item_16	La mamma få det	understanding	phrases	NA	NA	NA		16
item_17	Nå sier vi ha det	understanding	phrases	NA	NA	NA		17
item_18	På tide å legge seg	understanding	phrases	NA	NA	NA		18
item_19	Reis deg (opp)	understanding	phrases	NA	NA	NA		19
item_20	Se her	understanding	phrases	NA	NA	NA		20
item_21	Sett deg (ned)	understanding	phrases	NA	NA	NA		21
item_22	Skal vi kjøre en tur?	understanding	phrases	NA	NA	NA		22
item_23	Slutt (opp)	understanding	phrases	NA	NA	NA		23
item_24	Spytt ut	understanding	phrases	NA	NA	NA		24
item_25	Stå stille	understanding	phrases	NA	NA	NA		25
item_26	Vil du ha mer?	understanding	phrases	NA	NA	NA		26
item_27	Vær forsiktig	understanding	phrases	NA	NA	NA		27
